session_id,scenario_id,harmony_version,direction,provenance,generation_tier,grounding_strength,validation_status,events_file
20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A,KB16,V3,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB16/20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A/events_20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A.csv
20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7,KB16,V5,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB16/20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7/events_20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7.csv
20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE,KB16,BQ,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB16/20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE/events_20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE.csv
20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C,KB16,V4,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB16/20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C/events_20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C.csv
20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022,KB16,BT,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB16/20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022/events_20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022.csv
20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138,KB16,V2,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB16/20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138/events_20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138.csv
20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4,KB16,V1,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB16/20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4/events_20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4.csv
20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61,KB14,V5,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB14/20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61/events_20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61.csv
20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325,KB14,BT,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB14/20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325/events_20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325.csv
20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B,KB14,BQ,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB14/20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B/events_20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B.csv
20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5,KB14,V3,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB14/20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5/events_20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5.csv
20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853,KB14,V4,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB14/20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853/events_20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853.csv
20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7,KB14,V1,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB14/20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7/events_20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7.csv
20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53,KB14,V2,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB14/20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53/events_20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53.csv
20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795,KB17,V5,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB17/20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795/events_20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795.csv
20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706,KB17,BT,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB17/20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706/events_20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706.csv
20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA,KB17,BQ,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB17/20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA/events_20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA.csv
20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379,KB17,V1,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB17/20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379/events_20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379.csv
20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8,KB17,V4,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB17/20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8/events_20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8.csv
20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31,KB17,V3,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB17/20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31/events_20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31.csv
20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE,KB17,V2,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB17/20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE/events_20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE.csv
20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329,KB24,V4,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB24/20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329/events_20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329.csv
20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7,KB24,V3,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB24/20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7/events_20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7.csv
20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D,KB24,V2,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB24/20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D/events_20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D.csv
20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683,KB24,V5,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB24/20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683/events_20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683.csv
20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510,KB24,BQ,NONE,REAL,real_recorded,,VALID,FINAL_DATASET/KB24/20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510/events_20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510.csv
