session_id,scenario_id,old_direction,new_direction,reason
20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,KB03,N/A,N/A,"DUPLICATE_REMOVED: same session_id found in both 'Kịch bản 3/20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24/events_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv' (tree=canonical, kept) and 'HARMONY_Experiments/V1/GPS_TO_VPS_NORMAL/trial_01/events_20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24.csv' (tree=HARMONY_Experiments, removed). Canonical Kich-ban copy preferred per spec Section 5. WARNING: content DIFFERS from kept copy (sha256 ae5a85834d93 vs 0eb7e13ba227) -- both copies already carry adjust_harmony_data.py-modified values, not pristine originals."
20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,KB03,GPS_TO_VPS,GPS_TO_VPS,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F,KB10,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88,KB10,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED,KB10,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6,KB10,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1,KB10,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260915_084744_254_V1_GPS_TO_VPS_NORMAL_DEV_7E4F,KB11,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313,KB11,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260915_085533_277_V3_GPS_TO_VPS_NORMAL_DEV_93D6,KB11,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260915_085823_623_V4_GPS_TO_VPS_NORMAL_DEV_FB68,KB11,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260915_090305_638_V5_GPS_TO_VPS_NORMAL_DEV_F25A,KB11,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260915_090604_072_BQ_GPS_TO_VPS_NORMAL_DEV_4784,KB11,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260915_090910_119_BT_GPS_TO_VPS_NORMAL_DEV_8D8B,KB11,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325,KB14,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B,KB14,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61,KB14,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853,KB14,NONE,NONE,DIRECTION_CONFIRMED: prior value already matched spec map; no change needed.
