scenario_id,BQ,BT,V1,V2,V3,V4,V5,TOTAL
KB01,1,1,1,1,1,1,1,7
KB02,2,2,2,2,2,2,2,14
KB03,1,1,1,1,1,1,1,7
KB04,1,1,1,1,1,1,1,7
KB05,1,1,0,1,2,1,1,7
KB06,1,1,1,1,1,1,1,7
KB07,1,1,1,1,1,1,1,7
KB08,1,1,1,1,1,1,1,7
KB09,1,1,1,1,1,1,1,7
KB10,0,0,1,1,1,1,1,5
KB11,1,1,1,1,1,1,1,7
KB12,1,1,1,1,1,1,1,7
KB13,1,1,1,1,1,1,1,7
KB14,1,1,1,1,1,1,1,7
KB15,1,1,1,1,1,1,1,7
KB16,1,1,1,1,1,1,1,7
KB17,1,1,1,1,1,1,1,7
KB18,1,1,1,1,1,1,1,7
KB19,0,1,3,0,1,1,1,7
KB20,1,1,1,1,1,1,1,7
KB21,1,1,1,1,1,1,1,7
KB22,1,1,1,1,1,1,1,7
KB23,1,1,1,1,1,1,1,7
KB24,1,1,1,1,1,1,1,7
KB25,1,1,1,1,1,1,1,7
KB26,1,1,1,1,1,1,1,7
KB27,1,1,1,1,1,1,1,7
KB28,1,1,1,1,1,1,1,7
KB29,1,1,1,1,1,1,1,7
KB30,1,1,1,1,1,1,1,7
