session_id,harmony_version,direction,scenario_id,handover_success_reconstructed,position_jump_m_all_attempts,heading_jump_deg_all_attempts,position_jump_m_successful_only,heading_jump_deg_successful_only
20260912_034750_793_BT_GPS_TO_VPS_NORMAL_DEV_EB50,BT,GPS_TO_VPS,KB18,1.0,2.3109,15.63,2.3109,15.63
20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,V3,GPS_TO_VPS,KB18,1.0,1.8602,16.562,1.8602,16.562
20260912_031840_651_V2_GPS_TO_VPS_NORMAL_DEV_1844,V2,GPS_TO_VPS,KB18,0.0,0.644,3.134,,
20260912_030230_879_V1_GPS_TO_VPS_NORMAL_DEV_DCB4,V1,GPS_TO_VPS,KB18,0.0,1.23,1.68,,
20260912_034402_407_V5_GPS_TO_VPS_NORMAL_DEV_EC78,V5,GPS_TO_VPS,KB18,1.0,1.3211,11.212,1.3211,11.212
20260912_034104_595_V4_GPS_TO_VPS_NORMAL_DEV_294C,V4,GPS_TO_VPS,KB18,1.0,1.6111,15.555,1.6111,15.555
20260912_034626_883_BQ_GPS_TO_VPS_NORMAL_DEV_F465,BQ,GPS_TO_VPS,KB18,0.0,0.002,0.0,,
20260906_075007_857_V3_GPS_TO_VPS_NORMAL_DEV_5C58,V3,GPS_TO_VPS,KB03,1.0,2.0178,16.38,2.0178,16.38
20260906_075227_349_V4_GPS_TO_VPS_NORMAL_DEV_3415,V4,GPS_TO_VPS,KB03,1.0,1.805,15.059,1.805,15.059
20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,V1,GPS_TO_VPS,KB03,1.0,4.0262,31.137,4.0262,31.137
20260906_075908_669_BQ_GPS_TO_VPS_NORMAL_DEV_A18D,BQ,GPS_TO_VPS,KB03,0.0,1.247,0.0,,
20260906_074640_905_V2_GPS_TO_VPS_NORMAL_DEV_1FA1,V2,GPS_TO_VPS,KB03,1.0,1.3192,10.64,1.3192,10.64
20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,V5,GPS_TO_VPS,KB03,1.0,1.2692,11.037,1.2692,11.037
20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,BT,GPS_TO_VPS,KB03,1.0,2.0033,16.494,2.0033,16.494
20260912_054551_539_V4_GPS_TO_VPS_NORMAL_DEV_5680,V4,GPS_TO_VPS,KB22,0.0,0.099,8.727,,
20260912_062236_926_V1_GPS_TO_VPS_NORMAL_DEV_DA16,V1,GPS_TO_VPS,KB22,1.0,3.8115,31.644,3.8115,31.644
20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796,V2,GPS_TO_VPS,KB22,1.0,1.159,11.88,1.159,11.88
20260912_055419_224_V3_GPS_TO_VPS_NORMAL_DEV_F251,V3,GPS_TO_VPS,KB22,1.0,2.1421,15.653,2.1421,15.653
20260912_063230_287_BT_GPS_TO_VPS_NORMAL_DEV_7870,BT,GPS_TO_VPS,KB22,1.0,2.1909,15.068,2.1909,15.068
20260912_054937_286_V5_GPS_TO_VPS_NORMAL_DEV_890A,V5,GPS_TO_VPS,KB22,1.0,1.1549,12.293,1.1549,12.293
20260912_074926_945_BQ_GPS_TO_VPS_NORMAL_DEV_F2F8,BQ,GPS_TO_VPS,KB22,1.0,2.9135,23.166,2.9135,23.166
20260915_042149_473_V3_GPS_TO_VPS_NORMAL_DEV_DC42,V3,GPS_TO_VPS,KB25,0.0,0.012,0.259,,
20260915_042934_425_V5_GPS_TO_VPS_NORMAL_DEV_5F97,V5,GPS_TO_VPS,KB25,1.0,1.1989,12.704,1.1989,12.704
20260915_044338_595_BT_GPS_TO_VPS_NORMAL_DEV_FBA2,BT,GPS_TO_VPS,KB25,0.0,0.526,0.0,,
20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E,V1,GPS_TO_VPS,KB25,0.0,0.128,9.769,,
20260915_041925_984_V2_GPS_TO_VPS_NORMAL_DEV_3309,V2,GPS_TO_VPS,KB25,1.0,1.3052,11.631,1.3052,11.631
20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,V4,GPS_TO_VPS,KB25,1.0,1.6232,13.508,1.6232,13.508
20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,BQ,GPS_TO_VPS,KB25,1.0,3.0104,22.554,3.0104,22.554
20260912_102314_139_V5_GPS_TO_VPS_NORMAL_DEV_D1F5,V5,GPS_TO_VPS,KB30,1.0,1.2826,11.575,1.2826,11.575
20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,V2,GPS_TO_VPS,KB30,1.0,1.196,10.981,1.196,10.981
20260912_100806_809_V1_GPS_TO_VPS_NORMAL_DEV_ECFB,V1,GPS_TO_VPS,KB30,0.0,0.925,2.967,,
