session_id,scenario_id,harmony_version,direction,validation_status,teacher_usable,usable_for_out_to_in,usable_for_in_to_out,usable_for_indoor,usable_for_outdoor,usable_for_failure_recovery,usable_for_timing,usable_for_pose_jump,warning_reason
20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A,KB16,V3,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7,KB16,V5,NONE,VALID,True,False,False,True,True,False,True,False,
20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE,KB16,BQ,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C,KB16,V4,NONE,VALID,True,False,False,True,False,False,True,False,
20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022,KB16,BT,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138,KB16,V2,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4,KB16,V1,NONE,VALID,True,False,False,True,True,False,True,False,
20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61,KB14,V5,NONE,VALID,True,False,False,True,True,False,True,False,
20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325,KB14,BT,NONE,VALID,True,False,False,True,False,False,True,False,
20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B,KB14,BQ,NONE,VALID,True,False,False,True,False,False,True,False,
20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5,KB14,V3,NONE,VALID,True,False,False,True,True,False,True,False,
20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853,KB14,V4,NONE,VALID,True,False,False,True,False,False,True,False,
20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7,KB14,V1,NONE,VALID,True,False,False,True,True,False,True,False,
20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53,KB14,V2,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_024916_056_V1_GPS_TO_VPS_NORMAL_DEV_CE35,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 1 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260912_025225_839_V5_GPS_TO_VPS_NORMAL_DEV_1134,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 1 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260912_025016_406_V2_GPS_TO_VPS_NORMAL_DEV_9635,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 3 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260912_025112_771_V3_GPS_TO_VPS_NORMAL_DEV_8BD4,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 1 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260912_025157_240_V4_GPS_TO_VPS_NORMAL_DEV_5697,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 1 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260914_013304_624_V2_GPS_TO_VPS_NORMAL_DEV_4CC7,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 3 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260912_024803_367_BT_GPS_TO_VPS_NORMAL_DEV_2860,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 3 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260912_025311_208_BQ_GPS_TO_VPS_NORMAL_DEV_FDB5,,,,INVALID,False,False,False,False,False,False,False,False,"[TOO_FEW_EVENTS] Only 1 event rows (< 5). | [TRIAL_NOT_COMPLETED] summary.completed=0 and no end_reason logged; trial may have been aborted, reset, or app-closed mid-run."
20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795,KB17,V5,NONE,VALID,True,False,False,True,True,False,True,False,
20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706,KB17,BT,NONE,VALID,True,False,False,True,False,False,True,False,
20260915_042206_567_BQ_GPS_TO_VPS_NORMAL_DEV_EBAA,KB17,BQ,NONE,VALID,True,False,False,True,False,False,True,False,
20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379,KB17,V1,NONE,VALID,True,False,False,True,False,False,True,False,
20260911_105854_962_V4_GPS_TO_VPS_NORMAL_DEV_D4A8,KB17,V4,NONE,VALID,True,False,False,True,False,False,True,False,
20260911_105639_912_V3_GPS_TO_VPS_NORMAL_DEV_BB31,KB17,V3,NONE,VALID,True,False,False,True,True,False,True,False,
20260911_081832_961_V2_GPS_TO_VPS_NORMAL_DEV_B6BE,KB17,V2,NONE,VALID,True,False,False,True,False,False,True,False,
20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329,KB24,V4,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7,KB24,V3,NONE,VALID,True,False,False,True,False,False,True,False,
20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D,KB24,V2,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683,KB24,V5,NONE,VALID,True,False,False,True,False,False,True,False,
20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510,KB24,BQ,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40,KB24,BT,NONE,VALID,True,False,False,True,False,False,True,False,
20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951,KB24,V1,NONE,VALID,True,False,False,True,True,False,True,False,
20260911_051425_657_V1_GPS_TO_VPS_NORMAL_DEV_F38F,KB10,V1,NONE,VALID,True,False,False,True,False,False,True,False,
20260911_053142_080_V3_GPS_TO_VPS_NORMAL_DEV_BCED,KB10,V3,NONE,VALID,True,False,False,True,False,False,True,False,
20260911_052009_268_V2_GPS_TO_VPS_NORMAL_DEV_6D88,KB10,V2,NONE,VALID,True,False,False,True,False,False,True,False,
20260912_103747_212_V4_GPS_TO_VPS_NORMAL_DEV_16E6,KB10,V4,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_104913_515_V5_GPS_TO_VPS_NORMAL_DEV_AAA1,KB10,V5,NONE,VALID,True,False,False,True,False,False,True,False,
20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000,KB02,V1,VPS_TO_GPS,VALID,True,False,False,True,False,False,True,False,
20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E,KB02,V5,VPS_TO_GPS,VALID,True,False,False,True,False,False,True,False,
20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D,KB02,V3,VPS_TO_GPS,VALID,True,False,False,True,False,False,True,False,
20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C,KB02,V2,VPS_TO_GPS,VALID,True,False,False,True,True,False,True,False,
20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F,KB02,BQ,VPS_TO_GPS,VALID,True,False,False,True,True,False,True,False,
20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1,KB02,V4,VPS_TO_GPS,VALID,True,False,False,True,True,False,True,False,
20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228,KB02,BT,VPS_TO_GPS,VALID,True,False,False,True,True,False,True,False,
20260915_085148_743_V2_GPS_TO_VPS_NORMAL_DEV_7313,KB11,V2,NONE,VALID,True,False,False,True,False,False,True,False,
20260915_090604_072_BQ_GPS_TO_VPS_NORMAL_DEV_4784,KB11,BQ,NONE,VALID,True,False,False,True,False,False,True,False,
20260915_090305_638_V5_GPS_TO_VPS_NORMAL_DEV_F25A,KB11,V5,NONE,VALID,True,False,False,True,True,False,True,False,
20260915_085533_277_V3_GPS_TO_VPS_NORMAL_DEV_93D6,KB11,V3,NONE,VALID,True,False,False,True,False,False,True,False,
20260915_084744_254_V1_GPS_TO_VPS_NORMAL_DEV_7E4F,KB11,V1,NONE,VALID_WITH_WARNINGS,True,False,False,True,False,False,False,False,C (long timing gap)
20260915_090910_119_BT_GPS_TO_VPS_NORMAL_DEV_8D8B,KB11,BT,NONE,VALID,True,False,False,True,False,False,True,False,
20260915_085823_623_V4_GPS_TO_VPS_NORMAL_DEV_FB68,KB11,V4,NONE,VALID,True,False,False,True,True,False,True,False,
20260912_034750_793_BT_GPS_TO_VPS_NORMAL_DEV_EB50,KB18,BT,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,KB18,V3,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_031840_651_V2_GPS_TO_VPS_NORMAL_DEV_1844,KB18,V2,GPS_TO_VPS,VALID,True,True,False,True,False,True,True,False,
20260912_030230_879_V1_GPS_TO_VPS_NORMAL_DEV_DCB4,KB18,V1,GPS_TO_VPS,VALID,True,True,False,True,False,True,True,False,
20260912_034402_407_V5_GPS_TO_VPS_NORMAL_DEV_EC78,KB18,V5,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_034104_595_V4_GPS_TO_VPS_NORMAL_DEV_294C,KB18,V4,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_034626_883_BQ_GPS_TO_VPS_NORMAL_DEV_F465,KB18,BQ,GPS_TO_VPS,VALID,True,True,False,True,False,True,True,False,
20260906_075007_857_V3_GPS_TO_VPS_NORMAL_DEV_5C58,KB03,V3,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260906_075227_349_V4_GPS_TO_VPS_NORMAL_DEV_3415,KB03,V4,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,KB03,V1,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260906_075908_669_BQ_GPS_TO_VPS_NORMAL_DEV_A18D,KB03,BQ,GPS_TO_VPS,VALID,True,True,False,True,True,True,True,False,
20260906_074640_905_V2_GPS_TO_VPS_NORMAL_DEV_1FA1,KB03,V2,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,KB03,V5,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,KB03,BT,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260914_014111_146_V1_GPS_TO_VPS_NORMAL_DEV_CE16,KB19,V1,NONE,VALID,True,False,False,True,False,False,True,False,
20260914_013921_647_V4_GPS_TO_VPS_NORMAL_DEV_3512,KB19,V4,NONE,VALID,True,False,False,True,False,False,True,False,
20260914_014219_079_BT_GPS_TO_VPS_NORMAL_DEV_C3DE,KB19,BT,NONE,VALID,True,False,False,True,False,False,True,False,
20260914_013130_006_V1_GPS_TO_VPS_NORMAL_DEV_08DE,KB19,V1,NONE,VALID,True,False,False,True,False,False,True,False,
20260914_014011_795_V1_GPS_TO_VPS_NORMAL_DEV_2BC4,KB19,V1,NONE,VALID,True,False,False,True,False,False,True,False,
20260914_013648_026_V5_GPS_TO_VPS_NORMAL_DEV_E194,KB19,V5,NONE,VALID,True,False,False,True,False,False,True,False,
20260914_013811_332_V3_GPS_TO_VPS_NORMAL_DEV_C7E4,KB19,V3,NONE,VALID,True,False,False,True,False,False,True,False,
20260912_054551_539_V4_GPS_TO_VPS_NORMAL_DEV_5680,KB22,V4,GPS_TO_VPS,VALID,True,True,False,True,False,True,True,False,
20260912_062236_926_V1_GPS_TO_VPS_NORMAL_DEV_DA16,KB22,V1,GPS_TO_VPS,VALID,True,True,False,True,False,False,True,True,
20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796,KB22,V2,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260912_055419_224_V3_GPS_TO_VPS_NORMAL_DEV_F251,KB22,V3,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
20260912_063230_287_BT_GPS_TO_VPS_NORMAL_DEV_7870,KB22,BT,GPS_TO_VPS,VALID,True,True,False,True,True,False,True,True,
