utc_iso,session_id,harmony_version,harmony_profile,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,elapsed_s,state,source,destination,latitude,longitude,gps_accuracy_m,gps_valid,pdr_steps,pdr_confidence,campus_x,campus_y,campus_z,map_x,map_y,map_z,outdoor_remaining_m,vps_attempt,vps_state,vps_scan_s,indoor_state,indoor_pose_source,indoor_confidence,indoor_steps,heading_deg,indoor_remaining_m,route_revision,wrong_way_count,recovery_count,active_source,gps_age_s,gps_reliability,gps_stable_s,vps_valid,vps_reliability,vps_stable_s,vps_confidence,vps_confidence_available,vps_map_id,vps_map_id_available,vps_map_matches,source_toggle_count,position_jump_m,heading_jump_deg,candidate_source,gps_threshold_passed,vps_threshold_passed,gps_dwell_gate_passed,vps_dwell_gate_passed,decision_reason,scenario_id,data_provenance,synthetic
2026-09-20T00:00:00.0000000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,0.0,EnteringWithPdr,Gps,B9-104,10.7735901,106.6607513,4.714,1,0,0,177.78,0.0,9.192,-2.802,-1.862,1.189,,,,,,,,,0.0,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:01.0300000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,1.03,EnteringWithPdr,Gps,B9-104,10.7735968,106.6607437,5.205,1,0,0,177.78,0.0,9.192,-2.802,-1.862,1.189,,,,,,,,,0.0,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:02.0600000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,2.06,EnteringWithPdr,Gps,B9-104,10.7735968,106.6607437,5.11,1,1,0,177.78,0.0,9.464,-2.541,-1.867,1.115,,,,,,,,,360.0,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:03.0900000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,3.09,EnteringWithPdr,Gps,B9-104,10.7735968,106.6607437,5.036,1,2,0,177.815,0.0,10.532,-1.522,-1.887,0.794,,,,,,,,,359.958,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:04.1200000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,4.12,EnteringWithPdr,Gps,B9-104,10.7735968,106.6607437,5.587,1,3,0,177.677,0.0,10.998,-1.035,-1.896,0.801,,,,,,,,,351.196,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:05.1500000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,5.15,EnteringWithPdr,Gps,B9-104,10.7735872,106.6607437,4.796,1,3,0,177.696,0.0,10.996,-1.043,-1.896,0.783,,,,,,,,,351.213,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:06.1800000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,6.18,EnteringWithPdr,Gps,B9-104,10.7735872,106.6607437,5.01,1,3,0,177.699,0.0,10.998,-1.042,-1.896,0.779,,,,,,,,,351.138,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:07.2100000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,7.21,EnteringWithPdr,Gps,B9-104,10.7735872,106.6607437,4.83,1,3,0,177.699,0.0,10.998,-1.042,-1.896,0.779,,,,,,,,,348.87,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:08.2400000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,8.24,VpsScanning,Gps,B9-104,10.7735872,106.6607437,5.275,1,4,0,177.619,0.0,11.463,-0.573,-1.905,0.731,,,,,,,,,359.024,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:09.2700000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,9.27,VpsScanning,Gps,B9-104,10.7735872,106.6607437,4.97,1,5,0,177.659,0.0,12.069,0.0,-1.917,0.529,,,,,,,,,14.6,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:10.3000000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,10.3,VpsScanning,Gps,B9-104,10.7735872,106.6607437,5.268,1,6,0,178.189,0.0,12.344,0.122,-1.918,-0.055,,,,,,,,,77.265,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:11.3300000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,11.33,VpsScanning,Gps,B9-104,10.7735872,106.6607437,5.25,1,6,0,178.169,0.0,11.916,-0.285,-1.91,0.08,,,,,,,,,144.313,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:12.3600000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,12.36,VpsScanning,Gps,B9-104,10.7735872,106.6607437,5.307,1,7,0,178.319,0.0,12.422,0.162,-1.919,-0.201,,,,,,,,,66.796,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:13.3900000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,13.39,VpsScanning,Gps,B9-104,10.7735872,106.6607437,4.684,1,7,0,178.088,0.0,12.724,0.515,-1.926,-0.06,,,,,,,,,320.695,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:14.4200000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,14.42,VpsScanning,Gps,B9-104,10.7735872,106.6607437,4.65,1,8,0,177.823,0.0,12.353,0.229,-1.921,0.294,,,,,,,,,259.094,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:15.4500000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,15.45,VpsScanning,Gps,B9-104,10.7735872,106.6607437,4.821,1,8,0,177.832,0.0,11.951,-0.161,-1.913,0.394,,,,,,,,,216.448,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:16.4800000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,16.48,VpsScanning,Gps,B9-104,10.7735872,106.6607437,4.635,1,8,0,177.938,0.0,11.981,-0.16,-1.913,0.284,,,,,,,,,213.703,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:17.5100000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,17.51,VpsScanning,Gps,B9-104,10.7735796,106.6607437,5.145,1,8,0,177.838,0.0,12.074,-0.043,-1.915,0.356,,,,,,,,,242.468,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:18.5400000Z,SYNTH_KB09_BT_3772_FWD,BT,Quality + Dwell Baseline,1,1,0,0,0,18.54,VpsScanning,Gps,B9-104,10.7735796,106.6607437,4.755,1,8,0,177.794,0.0,12.156,0.048,-1.917,0.376,,,,,,,,,270.246,,0,0,0,Gps,,,,0,,,0.0,0,,0,0,1,0.0,0.0,,,,,,,KB09,SYNTHETIC_SUPPORT,1
