utc_iso,session_id,harmony_version,harmony_profile,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,elapsed_s,event,from_state,to_state,source,destination,latitude,longitude,gps_accuracy_m,campus_x,campus_y,campus_z,map_x,map_y,map_z,vps_attempt,note,scenario_id,data_provenance,synthetic
2026-09-20T00:00:00.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,0.0,trial_started,,,Gps,B9-103,,,,,,,,,,,auto=True,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:15.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,15.0,transition_step_checkpoint,,,Gps,B9-103,,,,,,,,,,,periodic navigation checkpoint,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:30.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,30.0,transition_step_checkpoint,,,Gps,B9-103,,,,,,,,,,,periodic navigation checkpoint,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:00:45.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,45.0,transition_step_checkpoint,,,Gps,B9-103,,,,,,,,,,,periodic navigation checkpoint,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:00.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,60.0,transition_step_checkpoint,,,Gps,B9-103,,,,,,,,,,,periodic navigation checkpoint,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:15.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,75.0,transition_step_checkpoint,,,Gps,B9-103,,,,,,,,,,,periodic navigation checkpoint,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:30.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,90.0,transition_step_checkpoint,,,Gps,B9-103,,,,,,,,,,,periodic navigation checkpoint,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:38.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,98.0,reliability_state,OutdoorGps,EnteringWithPdr,Pdr,B9-103,,,,,,,,,,,entered outer B9 volume; GPS correction frozen,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:40.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,100.0,transition_step_checkpoint,,,Pdr,B9-103,,,,,,,,,,,step=3,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:43.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,103.0,transition_step_checkpoint,,,Pdr,B9-103,,,,,,,,,,,step=6,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:46.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,106.0,transition_step_checkpoint,,,Pdr,B9-103,,,,,,,,,,,step=9,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:49.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,109.0,transition_step_checkpoint,,,Pdr,B9-103,,,,,,,,,,,step=12,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:50.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,110.0,reliability_state,EnteringWithPdr,VpsScanning,Pdr,B9-103,,,,,,,,,,,Reliability threshold passed; start VPS scanning,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:50.0000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,110.0,vps_state,,StartingVps,Pdr,B9-103,,,,,,,,,,1.0,,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:50.3000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,110.3,vps_state,,Scanning,Pdr,B9-103,,,,,,,,,,1.0,,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:53.8000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,113.8,vps_state,,IndoorLocalized,Vps,B9-103,,,,,,,,,,1.0,VPS localization accepted,KB27,SYNTHETIC_SUPPORT,1
2026-09-20T00:01:53.8000000Z,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,113.8,reliability_state,VpsScanning,IndoorVps,Vps,B9-103,,,,,,,,,,,VPS localization accepted,KB27,SYNTHETIC_SUPPORT,1
,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,113.8,indoor_state,,Navigating,Vps,B9-103,,,,,,,,,,,,KB27,SYNTHETIC_SUPPORT,1
,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,116.8,destination_arrived,,Arrived,Vps,B9-103,,,,,,,,,,,B9-103,KB27,SYNTHETIC_SUPPORT,1
,SYNTH_KB27_V2_3028_FWD,V2,Reliable Handover,1,1,1,1,0,116.8,trial_finished,,,Vps,B9-103,,,,,,,,,,,user_finished_trial,KB27,SYNTHETIC_SUPPORT,1
