harmony_version,direction,N_trials,HSR_numerator,HSR_denominator,HSR_percent,HSR_ci_low,HSR_ci_high,FHR_numerator,FHR_denominator,FHR_percent,FHR_ci_low,FHR_ci_high,handover_latency_s_N,handover_latency_s_mean,handover_latency_s_std,handover_latency_s_median,handover_latency_s_Q1,handover_latency_s_Q3,handover_latency_s_min,handover_latency_s_max,handover_latency_s_ci_low,handover_latency_s_ci_high,pdr_transition_duration_s_N,pdr_transition_duration_s_mean,pdr_transition_duration_s_std,pdr_transition_duration_s_median,pdr_transition_duration_s_Q1,pdr_transition_duration_s_Q3,pdr_transition_duration_s_min,pdr_transition_duration_s_max,pdr_transition_duration_s_ci_low,pdr_transition_duration_s_ci_high,vps_localization_time_s_mean_N,vps_localization_time_s_mean_mean,vps_localization_time_s_mean_std,vps_localization_time_s_mean_median,vps_localization_time_s_mean_Q1,vps_localization_time_s_mean_Q3,vps_localization_time_s_mean_min,vps_localization_time_s_mean_max,vps_localization_time_s_mean_ci_low,vps_localization_time_s_mean_ci_high,gps_accuracy_m_mean_N,gps_accuracy_m_mean_mean,gps_accuracy_m_mean_std,gps_accuracy_m_mean_median,gps_accuracy_m_mean_Q1,gps_accuracy_m_mean_Q3,gps_accuracy_m_mean_min,gps_accuracy_m_mean_max,gps_accuracy_m_mean_ci_low,gps_accuracy_m_mean_ci_high,position_jump_m_reconstructed_N,position_jump_m_reconstructed_mean,position_jump_m_reconstructed_std,position_jump_m_reconstructed_median,position_jump_m_reconstructed_Q1,position_jump_m_reconstructed_Q3,position_jump_m_reconstructed_min,position_jump_m_reconstructed_max,position_jump_m_reconstructed_ci_low,position_jump_m_reconstructed_ci_high,heading_jump_deg_reconstructed_N,heading_jump_deg_reconstructed_mean,heading_jump_deg_reconstructed_std,heading_jump_deg_reconstructed_median,heading_jump_deg_reconstructed_Q1,heading_jump_deg_reconstructed_Q3,heading_jump_deg_reconstructed_min,heading_jump_deg_reconstructed_max,heading_jump_deg_reconstructed_ci_low,heading_jump_deg_reconstructed_ci_high,source_transitions_total_N,source_transitions_total_mean,source_transitions_total_std,source_transitions_total_median,source_transitions_total_Q1,source_transitions_total_Q3,source_transitions_total_min,source_transitions_total_max,source_transitions_total_ci_low,source_transitions_total_ci_high,unnecessary_source_switches_N,unnecessary_source_switches_mean,unnecessary_source_switches_std,unnecessary_source_switches_median,unnecessary_source_switches_Q1,unnecessary_source_switches_Q3,unnecessary_source_switches_min,unnecessary_source_switches_max,unnecessary_source_switches_ci_low,unnecessary_source_switches_ci_high,vps_confidence_available_rate_percent_N,vps_confidence_available_rate_percent_mean,vps_confidence_available_rate_percent_std,vps_confidence_available_rate_percent_median,vps_confidence_available_rate_percent_Q1,vps_confidence_available_rate_percent_Q3,vps_confidence_available_rate_percent_min,vps_confidence_available_rate_percent_max,vps_confidence_available_rate_percent_ci_low,vps_confidence_available_rate_percent_ci_high,vps_map_id_available_rate_percent_N,vps_map_id_available_rate_percent_mean,vps_map_id_available_rate_percent_std,vps_map_id_available_rate_percent_median,vps_map_id_available_rate_percent_Q1,vps_map_id_available_rate_percent_Q3,vps_map_id_available_rate_percent_min,vps_map_id_available_rate_percent_max,vps_map_id_available_rate_percent_ci_low,vps_map_id_available_rate_percent_ci_high,vps_map_match_rate_percent_N,vps_map_match_rate_percent_mean,vps_map_match_rate_percent_std,vps_map_match_rate_percent_median,vps_map_match_rate_percent_Q1,vps_map_match_rate_percent_Q3,vps_map_match_rate_percent_min,vps_map_match_rate_percent_max,vps_map_match_rate_percent_ci_low,vps_map_match_rate_percent_ci_high,vps_reliability_mean_when_valid_N,vps_reliability_mean_when_valid_mean,vps_reliability_mean_when_valid_std,vps_reliability_mean_when_valid_median,vps_reliability_mean_when_valid_Q1,vps_reliability_mean_when_valid_Q3,vps_reliability_mean_when_valid_min,vps_reliability_mean_when_valid_max,vps_reliability_mean_when_valid_ci_low,vps_reliability_mean_when_valid_ci_high
BQ,GPS_TO_VPS,19,15,18,83.33,60.78,94.16,8,17,47.06,26.17,69.04,15,4.3607,2.0583,3.809,3.3305,3.809,2.687,9.027,3.2208,5.5005,18,23.3956,18.9818,18.054,17.377,19.9715,12.028,96.54,13.9562,32.835,15,3.2287,1.7152,3.5,2.347,3.509,1.003,8.521,2.2788,4.1785,19,6.098,3.9637,5.2424,5.1988,5.2505,4.9823,22.4618,4.1875,8.0084,15,0.8228,1.4259,0.0,0.0,1.3624,0.0,3.694,0.0332,1.6125,15,12.0668,29.6197,0.0,0.0,10.7155,0.0,113.851,-4.336,28.4696,19,0.8947,1.7605,0.0,0.0,1.0,0.0,6.0,0.0462,1.7433,19,0.7368,1.7902,0.0,0.0,0.0,0.0,6.0,-0.126,1.5997,19,17.0405,19.1503,4.88,4.86,34.165,0.0,54.76,7.8104,26.2707,19,15.2232,20.3269,2.44,2.42,34.165,0.0,54.76,5.4259,25.0204,19,15.2232,20.3269,2.44,2.42,34.165,0.0,54.76,5.4259,25.0204,15,0.873,0.0445,0.8806,0.8739,0.8897,0.7223,0.9264,0.8483,0.8976
BQ,MULTI_HANDOVER,1,0,0,,,,0,2,0.0,0.0,65.76,0,,,,,,,,,,1,147.838,0.0,147.838,147.838,147.838,147.838,147.838,,,1,3.809,0.0,3.809,3.809,3.809,3.809,3.809,,,1,5.2316,0.0,5.2316,5.2316,5.2316,5.2316,5.2316,,,0,,,,,,,,,,0,,,,,,,,,,1,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,4.0,0.0,4.0,4.0,4.0,4.0,4.0,,,1,1.6,0.0,1.6,1.6,1.6,1.6,1.6,,,1,1.6,0.0,1.6,1.6,1.6,1.6,1.6,,,1,0.8796,0.0,0.8796,0.8796,0.8796,0.8796,0.8796,,
BQ,NONE,6,0,0,,,,8,17,47.06,26.17,69.04,0,,,,,,,,,,5,8.909,3.5137,7.303,7.182,11.01,5.129,13.921,4.5462,13.2718,4,1.6732,0.0312,1.673,1.65,1.6963,1.641,1.706,1.6237,1.7228,6,5.0921,0.0871,5.1149,5.0931,5.1406,4.9233,5.1643,5.0007,5.1835,0,,,,,,,,,,0,,,,,,,,,,6,2.8333,1.8348,4.0,1.75,4.0,0.0,4.0,0.9078,4.7589,6,2.6667,2.0656,4.0,1.0,4.0,0.0,4.0,0.499,4.8344,6,33.0383,17.3958,35.26,34.75,40.225,0.0,51.25,14.7826,51.2941,6,33.0383,17.3958,35.26,34.75,40.225,0.0,51.25,14.7826,51.2941,6,33.0383,17.3958,35.26,34.75,40.225,0.0,51.25,14.7826,51.2941,4,0.8825,0.0036,0.8824,0.8809,0.8841,0.8783,0.8869,0.8768,0.8882
BQ,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,4,10,40.0,16.82,68.73,2,21.063,0.0,21.063,21.063,21.063,21.063,21.063,21.063,21.063,3,13.3827,9.8282,19.057,10.5455,19.057,2.034,19.057,-11.032,37.7974,1,1.697,0.0,1.697,1.697,1.697,1.697,1.697,,,3,5.3472,0.2408,5.4282,5.2523,5.4826,5.0764,5.5371,4.7491,5.9454,2,1.6221,0.0,1.6221,1.6221,1.6221,1.6221,1.6221,1.6221,1.6221,2,106.893,0.0,106.893,106.893,106.893,106.893,106.893,106.893,106.893,3,3.3333,2.3094,2.0,2.0,4.0,2.0,6.0,-2.4035,9.0702,3,2.0,3.4641,0.0,0.0,3.0,0.0,6.0,-6.6053,10.6053,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,0.8788,0.0015,0.8794,0.8782,0.8796,0.8771,0.8798,0.8751,0.8824
BT,GPS_TO_VPS,19,17,18,94.44,74.24,99.01,8,19,42.11,23.14,63.72,17,4.3098,1.9624,3.8,3.138,3.845,2.875,9.135,3.3008,5.3188,18,15.117,10.5694,12.18,11.4132,13.4437,5.028,51.333,9.861,20.373,17,3.0821,1.7034,3.045,1.704,3.545,1.015,8.605,2.2062,3.9579,19,6.1343,4.1662,5.2033,5.1811,5.2084,4.8694,23.3328,4.1263,8.1424,17,0.6902,1.0045,0.0,0.0,2.0033,0.0,2.3109,0.1738,1.2067,17,6.8632,9.1449,0.0,0.0,15.63,0.0,28.24,2.1613,11.5651,19,1.0,1.6667,0.0,0.0,1.5,0.0,4.0,0.1967,1.8033,19,0.8421,1.6754,0.0,0.0,0.0,0.0,4.0,0.0346,1.6496,19,22.0158,19.3224,21.83,5.98,32.6,0.0,78.26,12.7027,31.3289,19,20.2484,20.2493,19.58,3.42,32.6,0.0,78.26,10.4886,30.0083,19,20.2484,20.2493,19.58,3.42,32.6,0.0,78.26,10.4886,30.0083,17,0.8676,0.0383,0.8731,0.8697,0.8826,0.7235,0.8941,0.848,0.8873
BT,MULTI_HANDOVER,1,0,0,,,,0,2,0.0,0.0,65.76,0,,,,,,,,,,1,142.485,0.0,142.485,142.485,142.485,142.485,142.485,,,1,3.845,0.0,3.845,3.845,3.845,3.845,3.845,,,1,5.2129,0.0,5.2129,5.2129,5.2129,5.2129,5.2129,,,0,,,,,,,,,,0,,,,,,,,,,1,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,6.17,0.0,6.17,6.17,6.17,6.17,6.17,,,1,3.7,0.0,3.7,3.7,3.7,3.7,3.7,,,1,3.7,0.0,3.7,3.7,3.7,3.7,3.7,,,1,0.8574,0.0,0.8574,0.8574,0.8574,0.8574,0.8574,,
BT,NONE,7,0,0,,,,2,13,15.38,4.33,42.23,0,,,,,,,,,,5,14.4088,13.5712,7.322,7.21,13.37,6.006,38.136,-2.4421,31.2597,5,1.7168,0.0437,1.703,1.692,1.746,1.667,1.776,1.6625,1.7711,7,5.0736,0.0731,5.0626,5.0255,5.106,4.9848,5.205,5.006,5.1412,0,,,,,,,,,,0,,,,,,,,,,7,1.8571,1.215,2.0,1.5,2.0,0.0,4.0,0.7335,2.9808,7,0.5714,1.5119,0.0,0.0,0.0,0.0,4.0,-0.8268,1.9697,7,31.6614,15.497,33.8,33.05,34.94,0.0,51.85,17.3291,45.9938,7,31.6614,15.497,33.8,33.05,34.94,0.0,51.85,17.3291,45.9938,7,31.6614,15.497,33.8,33.05,34.94,0.0,51.85,17.3291,45.9938,5,0.8769,0.0066,0.876,0.8759,0.8772,0.8683,0.8869,0.8686,0.8851
BT,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,15.225,0.0,15.225,15.225,15.225,15.225,15.225,15.225,15.225,3,12.5593,4.1731,10.15,10.15,13.764,10.15,17.378,2.1928,22.9259,1,1.687,0.0,1.687,1.687,1.687,1.687,1.687,,,3,5.2554,0.1772,5.3397,5.1958,5.3572,5.0518,5.3748,4.8152,5.6957,2,5.5333,0.0,5.5333,5.5333,5.5333,5.5333,5.5333,5.5333,5.5333,2,28.536,0.0,28.536,28.536,28.536,28.536,28.536,28.536,28.536,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,0.8776,0.004,0.8778,0.8757,0.8796,0.8735,0.8814,0.8677,0.8874
V1,GPS_TO_VPS,18,14,17,82.35,58.97,93.81,8,15,53.33,30.12,75.19,14,4.4325,2.1907,3.848,3.348,3.848,2.166,9.144,3.1676,5.6974,18,16.9426,7.1144,16.256,15.36,17.519,3.067,36.55,13.4046,20.4805,14,3.3705,1.7416,3.524,3.012,3.548,1.016,8.612,2.3649,4.3761,18,6.1229,4.4344,5.0938,5.0592,5.1089,4.9302,23.8891,3.9177,8.328,14,0.8035,1.5083,0.0,0.0,0.3211,0.0,4.0262,-0.0673,1.6744,14,13.8691,21.2755,0.0,0.0,31.5172,0.0,67.633,1.585,26.1533,18,0.8333,1.5049,0.0,0.0,0.75,0.0,4.0,0.085,1.5817,18,0.7778,1.5168,0.0,0.0,0.0,0.0,4.0,0.0235,1.5321,18,16.8717,17.8498,7.06,7.04,28.085,0.0,49.72,7.9952,25.7482,18,15.99,18.3668,5.94,5.885,27.475,0.0,49.72,6.8564,25.1236,18,15.99,18.3668,5.94,5.885,27.475,0.0,49.72,6.8564,25.1236,14,0.8785,0.0463,0.8885,0.8824,0.8931,0.7229,0.9138,0.8518,0.9052
V1,MULTI_HANDOVER,1,0,0,,,,0,2,0.0,0.0,65.76,0,,,,,,,,,,1,287.912,0.0,287.912,287.912,287.912,287.912,287.912,,,1,3.848,0.0,3.848,3.848,3.848,3.848,3.848,,,1,5.0908,0.0,5.0908,5.0908,5.0908,5.0908,5.0908,,,0,,,,,,,,,,0,,,,,,,,,,1,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,5.24,0.0,5.24,5.24,5.24,5.24,5.24,,,1,4.12,0.0,4.12,4.12,4.12,4.12,4.12,,,1,4.12,0.0,4.12,4.12,4.12,4.12,4.12,,,1,0.864,0.0,0.864,0.864,0.864,0.864,0.864,,
