session_id,unique_events,unique_from_states,unique_to_states,unique_sources,n_events
20260917_082934_913_V2_GPS_TO_VPS_NORMAL_DEV_A61C,"app_resumed, destination_changed, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, ExitingWithPdr, Gps, IndoorVps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, ExitingWithPdr, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, NoDestination, OutdoorGps, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning, WaitingForLocalization","Gps, Pdr, Vps",492
20260917_132151_652_V2_GPS_TO_VPS_NORMAL_DEV_3545,"app_resumed, indoor_state, indoor_step_checkpoint, quality_threshold_passed, reliability_state, source_switched, trial_started","IndoorVps, Pdr, Vps","Gps, IndoorVps, OutdoorGps, Pdr","Gps, Pdr, Vps",9
20260917_130000_241_BQ_GPS_TO_VPS_NORMAL_DEV_3348,"app_resumed, indoor_state, indoor_step_checkpoint, quality_threshold_passed, reliability_state, source_switched, trial_started","IndoorVps, Pdr, Vps","Gps, IndoorVps, OutdoorGps, Pdr","Gps, Pdr, Vps",9
20260917_134342_063_V5_GPS_TO_VPS_NORMAL_DEV_1612,"app_resumed, indoor_state, indoor_step_checkpoint, quality_threshold_passed, reliability_state, source_switched, trial_started","IndoorVps, Pdr, Vps","Gps, IndoorVps, OutdoorGps, Pdr","Gps, Pdr, Vps",9
20260917_133625_926_V4_GPS_TO_VPS_NORMAL_DEV_6790,"app_resumed, indoor_state, indoor_step_checkpoint, quality_threshold_passed, reliability_state, source_switched, trial_started","IndoorVps, Pdr, Vps","Gps, IndoorVps, OutdoorGps, Pdr","Gps, Pdr, Vps",9
20260917_090606_561_BT_GPS_TO_VPS_NORMAL_DEV_6228,"app_resumed, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, ExitingWithPdr, Gps, IndoorVps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, ExitingWithPdr, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, NoDestination, OutdoorGps, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning, WaitingForLocalization","Gps, Pdr, Vps",1562
20260917_083639_189_V3_GPS_TO_VPS_NORMAL_DEV_DD2D,"app_resumed, destination_arrived, handover_completed_approximate, indoor_state, outdoor_state, pdr_destination_arrived, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, VpsScanning","Arrived, ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, NavigatingToB9Entrance, NoDestination, Pdr, Scanning, StartingVps, VpsScanning","Gps, Pdr",121
20260917_132908_789_V3_GPS_TO_VPS_NORMAL_DEV_9203,"app_resumed, indoor_state, indoor_step_checkpoint, quality_threshold_passed, reliability_state, source_switched, trial_started","IndoorVps, Pdr, Vps","Gps, IndoorVps, OutdoorGps, Pdr","Gps, Pdr, Vps",10
20260917_130717_378_BT_GPS_TO_VPS_NORMAL_DEV_4565,"app_resumed, indoor_state, indoor_step_checkpoint, quality_threshold_passed, reliability_state, source_switched, trial_started","IndoorVps, Pdr, Vps","Gps, IndoorVps, OutdoorGps, Pdr","Gps, Pdr, Vps",9
20260917_083855_966_V4_GPS_TO_VPS_NORMAL_DEV_4AA1,"destination_changed, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, ExitingWithPdr, Gps, IndoorVps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, ExitingWithPdr, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, NoDestination, OutdoorGps, Pdr, Scanning, StartingVps, Vps, VpsScanning, WaitingForLocalization","Gps, Pdr, Vps",459
20260917_085315_835_BQ_GPS_TO_VPS_NORMAL_DEV_428F,"app_resumed, destination_changed, dwell_passed, indoor_state, indoor_step_checkpoint, nearest_exit_arrived, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state, wrong_way_detected","EnteringWithPdr, ExitingWithPdr, Gps, IndoorVps, OutdoorGps, Pdr, VpsScanning","Arrived, ArrivedAtB9Entrance, Calculating, EnteringWithPdr, ExitingWithPdr, Gps, IndoorLocalized, IndoorVps, Navigating, NavigatingToB9Entrance, NoDestination, OutdoorGps, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning, WaitingForLocalization","Gps, Pdr, Vps",1617
20260917_131434_515_V1_GPS_TO_VPS_NORMAL_DEV_3432,"app_resumed, indoor_state, indoor_step_checkpoint, quality_threshold_passed, reliability_state, source_switched, trial_started","IndoorVps, Pdr, Vps","Gps, IndoorVps, OutdoorGps, Pdr","Gps, Pdr, Vps",12
20260917_082329_745_V1_GPS_TO_VPS_NORMAL_DEV_A000,"destination_arrived, destination_changed, indoor_state, indoor_step_checkpoint, nearest_exit_arrived, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","Arrived, ArrivedAtB9Entrance, Calculating, EnteringWithPdr, Gps, IndoorLocalized, IndoorVps, Navigating, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",1141
20260917_084301_102_V5_GPS_TO_VPS_NORMAL_DEV_416E,"app_resumed, destination_arrived, destination_changed, device_low_memory, dwell_passed, dwell_reset, dwell_started, indoor_state, outdoor_state, pdr_destination_arrived, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr","Arrived, ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, NavigatingToB9Entrance, NoDestination, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",338
20260912_100055_923_V3_GPS_TO_VPS_NORMAL_DEV_5573,"destination_changed, handover_completed_approximate, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, NavigatingToB9Entrance, NoDestination, OutdoorGps, Pdr, RouteUnavailable, Scanning, StartingVps, VpsScanning","Gps, Pdr",1669
20260912_095714_923_V4_GPS_TO_VPS_NORMAL_DEV_F016,"dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, Gps, IndoorLocalized, IndoorVps, Navigating, NoDestination, OutdoorGps, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",78
20260912_095520_181_V5_GPS_TO_VPS_NORMAL_DEV_0C4B,"destination_changed, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, NoDestination, OutdoorGps, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",57
20260912_095057_405_BQ_GPS_TO_VPS_NORMAL_DEV_104B,"handover_completed_approximate, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, VpsScanning","ArrivedAtB9Entrance, Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, NavigatingToB9Entrance, Pdr, RouteUnavailable, Scanning, StartingVps, VpsScanning","Gps, Pdr",1357
20260912_095408_236_BT_GPS_TO_VPS_NORMAL_DEV_FAAF,"destination_changed, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, Pdr, VpsScanning","Calculating, EnteringWithPdr, Gps, IndoorLocalized, IndoorVps, Navigating, NoDestination, OutdoorGps, Pdr, RouteUnavailable, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",56
20260912_094231_050_V3_GPS_TO_VPS_NORMAL_DEV_15A4,"app_resumed, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, trial_started, vps_state","EnteringWithPdr, Gps, Pdr","ArrivedAtB9Entrance, Calculating, Gps, IndoorLocalized, NavigatingToB9Entrance, NoDestination, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",74
20260912_095000_805_V2_GPS_TO_VPS_NORMAL_DEV_8903,"app_resumed, dwell_passed, dwell_reset, dwell_started, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, trial_finished, trial_started, vps_state","EnteringWithPdr, Gps, Pdr","ArrivedAtB9Entrance, Calculating, IndoorLocalized, NavigatingToB9Entrance, NoDestination, Pdr, Scanning, StartingVps, Vps, VpsScanning","Gps, Pdr, Vps",100
20260916_092908_789_V3_GPS_TO_VPS_NORMAL_DEV_1702,"destination_arrived, indoor_state, indoor_step_checkpoint, quality_threshold_failed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",20
20260916_090717_378_BT_GPS_TO_VPS_NORMAL_DEV_3128,"destination_arrived, indoor_state, indoor_step_checkpoint, quality_threshold_failed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",26
20260916_093625_926_V4_GPS_TO_VPS_NORMAL_DEV_8553,"destination_arrived, indoor_state, indoor_step_checkpoint, quality_threshold_failed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",25
