Version,Direction,Scenario,N,HSR_%,HSR_95CI,FHR_%,FHR_95CI,Handover_latency_s_mean,Handover_latency_s_median,Source_switching_mean,Unnecessary_switching_mean,VPS_localization_time_s_mean,PDR_transition_duration_s_mean,Position_jump_m_mean,Heading_jump_deg_mean
BQ,GPS_TO_VPS,,19,83.33,"[60.78, 94.16]",47.06,"[26.17, 69.04]",4.3607,3.809,0.8947,0.7368,3.2287,23.3956,0.8228,12.0668
BQ,MULTI_HANDOVER,,1,,,0.0,"[0.0, 65.76]",,,2.0,0.0,3.809,147.838,,
BQ,NONE,,6,,,47.06,"[26.17, 69.04]",,,2.8333,2.6667,1.6732,8.909,,
BQ,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",40.0,"[16.82, 68.73]",21.063,21.063,3.3333,2.0,1.697,13.3827,1.6221,106.893
BT,GPS_TO_VPS,,19,94.44,"[74.24, 99.01]",42.11,"[23.14, 63.72]",4.3098,3.8,1.0,0.8421,3.0821,15.117,0.6902,6.8632
BT,MULTI_HANDOVER,,1,,,0.0,"[0.0, 65.76]",,,2.0,0.0,3.845,142.485,,
BT,NONE,,7,,,15.38,"[4.33, 42.23]",,,1.8571,0.5714,1.7168,14.4088,,
BT,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",15.225,15.225,2.0,0.0,1.687,12.5593,5.5333,28.536
V1,GPS_TO_VPS,,18,82.35,"[58.97, 93.81]",53.33,"[30.12, 75.19]",4.4325,3.848,0.8333,0.7778,3.3705,16.9426,0.8035,13.8691
V1,MULTI_HANDOVER,,1,,,0.0,"[0.0, 65.76]",,,2.0,0.0,3.848,287.912,,
V1,NONE,,10,,,59.46,"[43.49, 73.65]",,,3.7,3.5,1.6878,42.3304,,
V1,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",25.0,"[7.15, 59.07]",13.208,13.208,2.6667,1.3333,1.711,8.1197,2.8408,152.024
V2,GPS_TO_VPS,,19,94.44,"[74.24, 99.01]",0.0,"[0.0, 25.88]",4.4015,3.8,0.5789,0.0,3.0826,17.1931,0.6282,5.4543
V2,MULTI_HANDOVER,,1,,,0.0,"[0.0, 65.76]",,,2.0,0.0,3.842,142.346,,
V2,NONE,,7,,,25.0,"[10.18, 49.5]",,,2.2857,1.1429,1.7042,79.1214,,
V2,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",21.294,21.294,2.0,0.0,1.676,15.2457,5.5928,115.163
V3,GPS_TO_VPS,,20,89.47,"[68.61, 97.06]",62.5,"[45.25, 77.07]",4.0752,3.8,1.6,1.55,3.077,9.8193,2.1339,26.1185
V3,MULTI_HANDOVER,,1,,,0.0,"[0.0, 65.76]",,,2.0,0.0,3.842,137.276,,
V3,NONE,,8,,,60.61,"[43.68, 75.32]",,,4.125,4.125,1.703,32.1617,,
V3,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 43.45]",6.084,6.084,1.6667,0.0,,3.7263,2.2834,129.265
V4,GPS_TO_VPS,,19,94.44,"[74.24, 99.01]",47.62,"[28.34, 67.63]",4.3905,3.8,1.1053,0.9474,3.0631,9.5559,0.6107,5.0866
V4,MULTI_HANDOVER,,1,,,0.0,"[0.0, 65.76]",,,2.0,0.0,3.806,126.65,,
V4,NONE,,8,,,45.45,"[26.92, 65.34]",,,2.75,2.25,1.6778,11.3166,,
V4,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",10.521,10.521,2.0,0.0,1.706,6.7337,0.3613,18.586
V5,GPS_TO_VPS,,19,100.0,"[82.41, 100.0]",14.29,"[4.01, 39.94]",4.3613,3.6935,0.7368,0.2105,2.9931,19.086,2.9658,12.8327
V5,MULTI_HANDOVER,,1,,,0.0,"[0.0, 65.76]",,,2.0,0.0,3.809,69.604,,
V5,NONE,,8,,,13.33,"[3.74, 37.88]",,,1.875,0.5,1.6938,7.487,,
V5,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",26.5795,26.5795,2.0,0.0,1.717,15.0513,0.8153,26.303
