session_id,validation_status,validation_notes,harmony_version,harmony_profile,direction,destination,duration_s,start_utc,end_utc,completed,end_reason,n_samples,n_events,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,handover_success_reconstructed,handover_latency_s,handover_start_s,handover_end_s,handover_note,handover_success_summary,handover_success_mismatch,source_transitions_total,switch_count_Gps_to_Pdr,switch_count_Pdr_to_Gps,switch_count_Pdr_to_Vps,switch_count_Vps_to_Pdr,switch_count_Gps_to_Vps,switch_count_Vps_to_Gps,false_handover_count,evaluable_switches,false_handover_rate_percent,oscillation_episode_count,unnecessary_source_switches,source_toggle_count_summary,source_toggle_count_reconstructed,source_toggle_count_mismatch,vps_attempts_total,vps_attempts_success,vps_attempts_timeout,vps_attempts_unresolved,vps_localization_time_s_n,vps_localization_time_s_mean,vps_localization_time_s_median,vps_localization_time_s_sd,vps_localization_time_s_min,vps_localization_time_s_max,vps_localization_time_last_s,vps_localization_outcome_last,pdr_transition_duration_s,gps_reliability_at_acceptance,vps_reliability_at_acceptance,gps_stable_s_at_acceptance,vps_stable_s_at_acceptance,position_jump_m_reconstructed,heading_jump_deg_reconstructed,position_jump_note,position_jump_m_logger_column,position_jump_m_logger_note,gps_accuracy_m_n,gps_accuracy_m_mean,gps_accuracy_m_median,gps_accuracy_m_sd,gps_accuracy_m_min,gps_accuracy_m_max,gps_reliability_mean,gps_reliability_median,gps_age_s_mean,gps_age_s_max,pdr_steps_total,pdr_confidence_mean,pdr_confidence_median,vps_reliability_mean_when_valid,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,handover_attempts_total_summary,handover_attempts_evaluable_summary,successful_handovers_summary,false_handovers_summary,hsr_percent_summary,fhr_percent_summary,events_file,samples_file,summary_file
20260912_102736_027_V4_GPS_TO_VPS_NORMAL_DEV_C329,VALID,,V4,No Map-ID Check,GPS_TO_VPS,B9-105,258.317,2026-09-12T10:27:36.0279030Z,,1.0,,249.0,4226.0,1.0,1.0,0.0,1.0,0.0,1.0,3.144,185.941,189.085,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.663,1.663,0.0,1.663,1.663,1.663,success,21.425,0.113,0.5,0.0,0.0,1.7469,14.405,reconstructed from campus_x/campus_y at +/-2.0s window,1.7469,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,249.0,5.1378,5.148,0.2655,4.481,5.964,0.4394,0.113,41.3519,142.308,16.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260912_102831_991_BT_GPS_TO_VPS_NORMAL_DEV_AB40,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,B9-EXIT,84.291,2026-09-12T10:28:31.9916200Z,,1.0,,80.0,383.0,1.0,1.0,0.0,0.0,0.0,1.0,2.887,60.521,63.408,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.731,1.731,0.0,1.731,1.731,1.731,success,13.37,0.132,0.5,0.0,0.0,2.4059,16.97,reconstructed from campus_x/campus_y at +/-2.0s window,2.4059,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,80.0,4.9764,5.001,0.2965,4.0,5.822,0.3984,0.132,12.6528,41.494,8.0,0.899,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260912_101203_701_V1_GPS_TO_VPS_NORMAL_DEV_0951,VALID,,V1,Fixed Geometric,GPS_TO_VPS,B9-101,312.148,2026-09-12T10:12:03.7013720Z,,1.0,,301.0,284.0,0.0,0.0,0.0,0.0,0.0,1.0,2.243,224.626,226.869,,1.0,False,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,66.67,1.0,6.0,6.0,6.0,False,1.0,1.0,0.0,0.0,1.0,1.726,1.726,0.0,1.726,1.726,1.726,success,210.809,0.924,0.5,2.866,0.0,3.5546,28.869,reconstructed from campus_x/campus_y at +/-2.0s window,3.5546,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,301.0,4.7855,4.779,0.2483,4.0,5.6,0.6893,0.864,3.5545,21.647,29.0,0.8997,0.9,,0.0,0.0,0.0,2.0,2.0,1.0,2.0,100.0,33.3,,,
20260912_102449_585_V5_GPS_TO_VPS_NORMAL_DEV_9683,VALID,,V5,Full HARMONY,GPS_TO_VPS,B9-203,156.566,2026-09-12T10:24:49.5852390Z,,1.0,,152.0,1140.0,1.0,1.0,1.0,1.0,1.0,1.0,3.217,112.68,115.897,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.689,1.689,0.0,1.689,1.689,1.689,success,3.1,0.113,0.5,0.0,0.0,1.2976,11.233,reconstructed from campus_x/campus_y at +/-2.0s window,1.2976,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,152.0,5.3448,5.3505,0.2197,4.772,5.848,0.3601,0.113,43.0033,115.393,13.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260912_103441_580_BQ_GPS_TO_VPS_NORMAL_DEV_1510,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,B9-101,71.21,2026-09-12T10:34:41.5802050Z,,1.0,,65.0,202.0,1.0,0.0,0.0,0.0,0.0,1.0,2.729,51.111,53.84,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.768,1.768,0.0,1.768,1.768,1.768,success,5.129,0.132,0.5,0.0,0.0,2.8839,18.399,reconstructed from campus_x/campus_y at +/-2.0s window,2.8839,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,65.0,5.2166,5.205,0.2212,4.7,5.869,0.4203,0.132,8.9814,25.213,3.0,0.9,0.9,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,100.0,25.0,,,
20260912_101355_285_V2_GPS_TO_VPS_NORMAL_DEV_280D,VALID_WITH_WARNINGS,[LARGE_TIME_GAP] 1 gap(s) in events elapsed_s exceed 60.0s (app pause/resume or logging interruption).,V2,Reliable Handover,GPS_TO_VPS,B9-201,314.629,2026-09-12T10:13:55.2850640Z,,1.0,,305.0,1083.0,1.0,1.0,1.0,1.0,0.0,1.0,3.51,218.568,222.078,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.605,1.605,0.0,1.605,1.605,1.605,success,230.19,0.91,0.5,77.41,0.0,1.2837,10.39,reconstructed from campus_x/campus_y at +/-2.0s window,1.2837,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,305.0,5.4079,5.403,0.2514,4.706,6.084,0.7605,0.909,3.1499,24.773,6.0,0.9,0.9,,0.0,0.0,0.0,2.0,2.0,1.0,0.0,100.0,0.0,,,
20260912_102134_888_V3_GPS_TO_VPS_NORMAL_DEV_74A7,VALID,,V3,No Dwell Time,GPS_TO_VPS,B9-EXIT,176.727,2026-09-12T10:21:34.8880390Z,,1.0,,170.0,1268.0,1.0,0.0,1.0,1.0,0.0,1.0,2.358,127.171,129.529,,1.0,False,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,66.67,1.0,6.0,6.0,6.0,False,1.0,1.0,0.0,0.0,1.0,1.74,1.74,0.0,1.74,1.74,1.74,success,16.47,0.132,0.5,0.0,0.0,1.9534,15.318,reconstructed from campus_x/campus_y at +/-2.0s window,1.9534,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,170.0,5.4581,5.4545,0.2408,4.895,6.084,0.2294,0.132,50.8571,130.227,12.0,0.8958,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,100.0,33.3,,,
20260912_054937_286_V5_GPS_TO_VPS_NORMAL_DEV_890A,VALID,,V5,Full HARMONY,GPS_TO_VPS,B9-103,140.094,2026-09-12T05:49:37.2863390Z,,1.0,,137.0,753.0,1.0,1.0,1.0,1.0,1.0,1.0,3.323,100.724,104.047,,1.0,False,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,False,1.0,1.0,0.0,0.0,1.0,1.728,1.728,0.0,1.728,1.728,1.728,success,5.151,0.113,0.5,0.0,0.0,1.2493,11.435,reconstructed from campus_x/campus_y at +/-2.0s window,1.2493,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,137.0,5.2268,5.225,0.2678,4.407,5.804,0.3705,0.113,37.7891,102.209,15.0,0.8992,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,0.0,,,
20260912_074926_945_BQ_GPS_TO_VPS_NORMAL_DEV_F2F8,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,B9-103,97.929,2026-09-12T07:49:26.9451630Z,,1.0,,94.0,194.0,1.0,0.0,0.0,0.0,0.0,1.0,2.567,70.461,73.028,,1.0,False,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,4.0,4.0,False,1.0,1.0,0.0,0.0,1.0,1.672,1.672,0.0,1.672,1.672,1.672,success,37.027,0.887,0.5,1.993,0.0,2.6838,19.479,reconstructed from campus_x/campus_y at +/-2.0s window,2.6838,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,94.0,4.9998,4.9785,0.231,4.57,5.614,0.6879,0.911,3.9916,18.654,45.0,0.9,0.9,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,25.0,,,
20260912_055419_224_V3_GPS_TO_VPS_NORMAL_DEV_F251,VALID,,V3,No Dwell Time,GPS_TO_VPS,B9-104,125.988,2026-09-12T05:54:19.2245840Z,,1.0,,123.0,140.0,1.0,0.0,1.0,1.0,0.0,1.0,2.191,89.671,91.862,,1.0,False,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,66.67,1.0,6.0,6.0,6.0,False,1.0,1.0,0.0,0.0,1.0,1.694,1.694,0.0,1.694,1.694,1.694,success,5.149,0.996,0.5,0.831,0.0,2.1358,16.989,reconstructed from campus_x/campus_y at +/-2.0s window,2.1358,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,123.0,4.982,4.961,0.2446,4.462,5.727,0.7513,0.937,4.3386,25.765,5.0,0.9,0.9,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,100.0,33.3,,,
