harmony_version,direction,N_trials,HSR_numerator,HSR_denominator,HSR_percent,HSR_ci_low,HSR_ci_high,FHR_numerator,FHR_denominator,FHR_percent,FHR_ci_low,FHR_ci_high,handover_latency_s_N,handover_latency_s_mean,handover_latency_s_std,handover_latency_s_median,handover_latency_s_Q1,handover_latency_s_Q3,handover_latency_s_min,handover_latency_s_max,handover_latency_s_ci_low,handover_latency_s_ci_high,pdr_transition_duration_s_N,pdr_transition_duration_s_mean,pdr_transition_duration_s_std,pdr_transition_duration_s_median,pdr_transition_duration_s_Q1,pdr_transition_duration_s_Q3,pdr_transition_duration_s_min,pdr_transition_duration_s_max,pdr_transition_duration_s_ci_low,pdr_transition_duration_s_ci_high,vps_localization_time_s_mean_N,vps_localization_time_s_mean_mean,vps_localization_time_s_mean_std,vps_localization_time_s_mean_median,vps_localization_time_s_mean_Q1,vps_localization_time_s_mean_Q3,vps_localization_time_s_mean_min,vps_localization_time_s_mean_max,vps_localization_time_s_mean_ci_low,vps_localization_time_s_mean_ci_high,gps_accuracy_m_mean_N,gps_accuracy_m_mean_mean,gps_accuracy_m_mean_std,gps_accuracy_m_mean_median,gps_accuracy_m_mean_Q1,gps_accuracy_m_mean_Q3,gps_accuracy_m_mean_min,gps_accuracy_m_mean_max,gps_accuracy_m_mean_ci_low,gps_accuracy_m_mean_ci_high,position_jump_m_reconstructed_N,position_jump_m_reconstructed_mean,position_jump_m_reconstructed_std,position_jump_m_reconstructed_median,position_jump_m_reconstructed_Q1,position_jump_m_reconstructed_Q3,position_jump_m_reconstructed_min,position_jump_m_reconstructed_max,position_jump_m_reconstructed_ci_low,position_jump_m_reconstructed_ci_high,heading_jump_deg_reconstructed_N,heading_jump_deg_reconstructed_mean,heading_jump_deg_reconstructed_std,heading_jump_deg_reconstructed_median,heading_jump_deg_reconstructed_Q1,heading_jump_deg_reconstructed_Q3,heading_jump_deg_reconstructed_min,heading_jump_deg_reconstructed_max,heading_jump_deg_reconstructed_ci_low,heading_jump_deg_reconstructed_ci_high,source_transitions_total_N,source_transitions_total_mean,source_transitions_total_std,source_transitions_total_median,source_transitions_total_Q1,source_transitions_total_Q3,source_transitions_total_min,source_transitions_total_max,source_transitions_total_ci_low,source_transitions_total_ci_high,unnecessary_source_switches_N,unnecessary_source_switches_mean,unnecessary_source_switches_std,unnecessary_source_switches_median,unnecessary_source_switches_Q1,unnecessary_source_switches_Q3,unnecessary_source_switches_min,unnecessary_source_switches_max,unnecessary_source_switches_ci_low,unnecessary_source_switches_ci_high,vps_confidence_available_rate_percent_N,vps_confidence_available_rate_percent_mean,vps_confidence_available_rate_percent_std,vps_confidence_available_rate_percent_median,vps_confidence_available_rate_percent_Q1,vps_confidence_available_rate_percent_Q3,vps_confidence_available_rate_percent_min,vps_confidence_available_rate_percent_max,vps_confidence_available_rate_percent_ci_low,vps_confidence_available_rate_percent_ci_high,vps_map_id_available_rate_percent_N,vps_map_id_available_rate_percent_mean,vps_map_id_available_rate_percent_std,vps_map_id_available_rate_percent_median,vps_map_id_available_rate_percent_Q1,vps_map_id_available_rate_percent_Q3,vps_map_id_available_rate_percent_min,vps_map_id_available_rate_percent_max,vps_map_id_available_rate_percent_ci_low,vps_map_id_available_rate_percent_ci_high,vps_map_match_rate_percent_N,vps_map_match_rate_percent_mean,vps_map_match_rate_percent_std,vps_map_match_rate_percent_median,vps_map_match_rate_percent_Q1,vps_map_match_rate_percent_Q3,vps_map_match_rate_percent_min,vps_map_match_rate_percent_max,vps_map_match_rate_percent_ci_low,vps_map_match_rate_percent_ci_high,vps_reliability_mean_when_valid_N,vps_reliability_mean_when_valid_mean,vps_reliability_mean_when_valid_std,vps_reliability_mean_when_valid_median,vps_reliability_mean_when_valid_Q1,vps_reliability_mean_when_valid_Q3,vps_reliability_mean_when_valid_min,vps_reliability_mean_when_valid_max,vps_reliability_mean_when_valid_ci_low,vps_reliability_mean_when_valid_ci_high
BQ,GPS_TO_VPS,6,3,6,50.0,18.76,81.24,8,17,47.06,26.17,69.04,3,2.7327,0.0573,2.714,2.7005,2.7555,2.687,2.797,2.5903,2.8751,5,35.968,35.2512,20.045,14.2,37.027,12.028,96.54,-7.8022,79.7382,3,1.6733,0.021,1.674,1.663,1.684,1.652,1.694,1.6211,1.7255,6,5.0854,0.0965,5.0489,5.0279,5.1564,4.9823,5.2193,4.9842,5.1867,3,2.8829,0.1452,2.9135,2.8192,2.9619,2.7248,3.0104,2.5221,3.2437,3,22.3837,0.88,22.554,21.9925,22.86,21.431,23.166,20.1977,24.5696,6,2.8333,2.137,2.5,1.0,4.0,1.0,6.0,0.5907,5.076,6,2.3333,2.6583,2.0,0.0,4.0,0.0,6.0,-0.4564,5.1231,6,43.37,9.8435,43.02,34.69,51.05,33.78,54.76,33.0399,53.7001,6,43.37,9.8435,43.02,34.69,51.05,33.78,54.76,33.0399,53.7001,6,43.37,9.8435,43.02,34.69,51.05,33.78,54.76,33.0399,53.7001,3,0.8805,0.0047,0.8814,0.8784,0.8831,0.8755,0.8847,0.869,0.8921
BQ,NONE,5,0,0,,,,8,17,47.06,26.17,69.04,0,,,,,,,,,,4,9.3407,3.9011,9.1565,6.7595,11.7378,5.129,13.921,3.1332,15.5483,4,1.6732,0.0312,1.673,1.65,1.6963,1.641,1.706,1.6237,1.7228,5,5.0931,0.0973,5.1185,5.1113,5.148,4.9233,5.1643,4.9722,5.2139,0,,,,,,,,,,0,,,,,,,,,,5,3.4,1.3416,4.0,4.0,4.0,1.0,4.0,1.7341,5.0659,5,3.2,1.7889,4.0,4.0,4.0,0.0,4.0,0.9788,5.4212,5,39.646,7.1279,35.38,35.14,41.84,34.62,51.25,30.7955,48.4965,5,39.646,7.1279,35.38,35.14,41.84,34.62,51.25,30.7955,48.4965,5,39.646,7.1279,35.38,35.14,41.84,34.62,51.25,30.7955,48.4965,4,0.8825,0.0036,0.8824,0.8809,0.8841,0.8783,0.8869,0.8768,0.8882
BQ,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,4,10,40.0,16.82,68.73,2,21.063,0.0,21.063,21.063,21.063,21.063,21.063,21.063,21.063,3,13.3827,9.8282,19.057,10.5455,19.057,2.034,19.057,-11.032,37.7974,1,1.697,0.0,1.697,1.697,1.697,1.697,1.697,,,3,5.3472,0.2408,5.4282,5.2523,5.4826,5.0764,5.5371,4.7491,5.9454,2,1.6221,0.0,1.6221,1.6221,1.6221,1.6221,1.6221,1.6221,1.6221,2,106.893,0.0,106.893,106.893,106.893,106.893,106.893,106.893,106.893,3,3.3333,2.3094,2.0,2.0,4.0,2.0,6.0,-2.4035,9.0702,3,2.0,3.4641,0.0,0.0,3.0,0.0,6.0,-6.6053,10.6053,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,0.8788,0.0015,0.8794,0.8782,0.8796,0.8771,0.8798,0.8751,0.8824
BT,GPS_TO_VPS,6,5,6,83.33,43.65,96.99,8,19,42.11,23.14,63.72,5,3.064,0.1071,3.104,3.089,3.114,2.875,3.138,2.931,3.197,5,21.453,19.7449,11.024,8.034,31.846,5.028,51.333,-3.0635,45.9695,5,1.6968,0.0122,1.7,1.697,1.704,1.676,1.707,1.6816,1.712,6,5.1408,0.1954,5.1651,5.0377,5.196,4.8694,5.4437,4.9357,5.3459,5,2.1846,0.1151,2.1909,2.1703,2.2476,2.0033,2.3109,2.0416,2.3276,5,16.1848,0.9199,16.231,15.63,16.494,15.068,17.501,15.0425,17.3271,6,3.1667,1.3292,4.0,2.5,4.0,1.0,4.0,1.7718,4.5615,6,2.6667,2.0656,4.0,1.0,4.0,0.0,4.0,0.499,4.8344,6,43.825,18.153,34.745,34.435,46.26,30.77,78.26,24.7745,62.8755,6,43.825,18.153,34.745,34.435,46.26,30.77,78.26,24.7745,62.8755,6,43.825,18.153,34.745,34.435,46.26,30.77,78.26,24.7745,62.8755,5,0.8776,0.0097,0.8731,0.8727,0.8783,0.8697,0.8941,0.8655,0.8897
BT,NONE,6,0,0,,,,2,13,15.38,4.33,42.23,0,,,,,,,,,,4,16.2085,14.9659,10.346,6.993,19.5615,6.006,38.136,-7.6056,40.0226,5,1.7168,0.0437,1.703,1.692,1.746,1.667,1.776,1.6625,1.7711,6,5.0691,0.079,5.0444,5.0252,5.0989,4.9848,5.205,4.9862,5.1519,0,,,,,,,,,,0,,,,,,,,,,6,2.1667,0.9832,2.0,2.0,2.0,1.0,4.0,1.1349,3.1985,6,0.6667,1.633,0.0,0.0,0.0,0.0,4.0,-1.0471,2.3804,6,36.9383,7.3678,34.34,33.7625,34.97,32.35,51.85,29.2063,44.6703,6,36.9383,7.3678,34.34,33.7625,34.97,32.35,51.85,29.2063,44.6703,6,36.9383,7.3678,34.34,33.7625,34.97,32.35,51.85,29.2063,44.6703,5,0.8769,0.0066,0.876,0.8759,0.8772,0.8683,0.8869,0.8686,0.8851
BT,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,15.225,0.0,15.225,15.225,15.225,15.225,15.225,15.225,15.225,3,12.5593,4.1731,10.15,10.15,13.764,10.15,17.378,2.1928,22.9259,1,1.687,0.0,1.687,1.687,1.687,1.687,1.687,,,3,5.2554,0.1772,5.3397,5.1958,5.3572,5.0518,5.3748,4.8152,5.6957,2,5.5333,0.0,5.5333,5.5333,5.5333,5.5333,5.5333,5.5333,5.5333,2,28.536,0.0,28.536,28.536,28.536,28.536,28.536,28.536,28.536,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,0.8776,0.004,0.8778,0.8757,0.8796,0.8735,0.8814,0.8677,0.8874
V1,GPS_TO_VPS,5,2,5,40.0,11.76,76.93,8,15,53.33,30.12,75.19,2,2.2075,0.0587,2.2075,2.1867,2.2283,2.166,2.249,1.6802,2.7348,5,17.5004,14.1033,12.1,8.02,27.765,3.067,36.55,-0.0112,35.012,2,1.6875,0.0163,1.6875,1.6818,1.6932,1.676,1.699,1.5414,1.8336,5,5.0385,0.1306,4.9826,4.9573,5.0702,4.9302,5.2524,4.8764,5.2007,2,3.9188,0.1518,3.9188,3.8652,3.9725,3.8115,4.0262,2.5548,5.2829,2,31.3905,0.3585,31.3905,31.2638,31.5172,31.137,31.644,28.1695,34.6115,5,3.0,1.2247,3.0,3.0,4.0,1.0,4.0,1.4793,4.5207,5,2.8,1.6432,3.0,3.0,4.0,0.0,4.0,0.7597,4.8403,5,44.086,7.662,49.6,36.82,49.64,34.65,49.72,34.5724,53.5996,5,44.086,7.662,49.6,36.82,49.64,34.65,49.72,34.5724,53.5996,5,44.086,7.662,49.6,36.82,49.64,34.65,49.72,34.5724,53.5996,2,0.8825,0.0005,0.8825,0.8824,0.8827,0.8822,0.8829,0.8781,0.887
V1,NONE,9,0,0,,,,22,37,59.46,43.49,73.65,0,,,,,,,,,,6,47.8398,80.0702,15.925,10.8068,23.6525,9.051,210.809,-36.1887,131.8683,6,1.6878,0.0287,1.69,1.6757,1.702,1.643,1.727,1.6577,1.7179,9,5.0322,0.151,4.9634,4.9148,5.103,4.9044,5.3359,4.9162,5.1483,0,,,,,,,,,,0,,,,,,,,,,9,4.1111,2.0883,4.0,3.0,6.0,1.0,6.0,2.5059,5.7163,9,3.8889,2.4721,4.0,3.0,6.0,0.0,6.0,1.9887,5.7891,9,41.1244,15.3117,35.37,35.0,50.0,13.64,68.09,29.3549,52.894,9,41.1244,15.3117,35.37,35.0,50.0,13.64,68.09,29.3549,52.894,9,41.1244,15.3117,35.37,35.0,50.0,13.64,68.09,29.3549,52.894,6,0.8843,0.0101,0.883,0.88,0.8864,0.8716,0.9017,0.8737,0.8949
V1,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,2,8,25.0,7.15,59.07,2,13.208,0.0,13.208,13.208,13.208,13.208,13.208,13.208,13.208,3,8.1197,5.2937,11.176,6.5915,11.176,2.007,11.176,-5.0307,21.27,1,1.711,0.0,1.711,1.711,1.711,1.711,1.711,,,3,5.2398,0.0558,5.237,5.2112,5.2669,5.1855,5.2969,5.1013,5.3783,2,2.8408,0.0,2.8408,2.8408,2.8408,2.8408,2.8408,2.8408,2.8408,2,152.024,0.0,152.024,152.024,152.024,152.024,152.024,152.024,152.024,3,2.6667,1.1547,2.0,2.0,3.0,2.0,4.0,-0.2018,5.5351,3,1.3333,2.3094,0.0,0.0,2.0,0.0,4.0,-4.4035,7.0702,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,0.8806,0.0014,0.8809,0.88,0.8814,0.8791,0.8818,0.8772,0.884
V2,GPS_TO_VPS,6,5,6,83.33,43.65,96.99,0,11,0.0,0.0,25.88,5,3.354,0.1193,3.329,3.319,3.332,3.235,3.555,3.2059,3.5021,5,21.0454,17.0084,17.35,11.094,24.374,4.067,48.342,-0.0733,42.1641,5,1.6914,0.028,1.694,1.686,1.713,1.647,1.717,1.6567,1.7261,6,5.1092,0.1323,5.131,5.0756,5.206,4.8752,5.2299,4.9704,5.248,5,1.2506,0.07,1.2738,1.196,1.3052,1.159,1.3192,1.1637,1.3375,5,11.0694,0.6882,10.981,10.64,11.631,10.215,11.88,10.2148,11.924,6,1.8333,0.4082,2.0,2.0,2.0,1.0,2.0,1.4049,2.2618,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,36.6467,5.9441,34.295,33.9075,35.905,32.56,48.51,30.4087,42.8847,6,36.6467,5.9441,34.295,33.9075,35.905,32.56,48.51,30.4087,42.8847,6,36.6467,5.9441,34.295,33.9075,35.905,32.56,48.51,30.4087,42.8847,5,0.8795,0.002,0.8795,0.8782,0.8799,0.8775,0.8826,0.8771,0.882
