Version,Direction,Scenario,N,HSR_%,HSR_95CI,FHR_%,FHR_95CI,Handover_latency_s_mean,Handover_latency_s_median,Source_switching_mean,Unnecessary_switching_mean,VPS_localization_time_s_mean,PDR_transition_duration_s_mean,Position_jump_m_mean,Heading_jump_deg_mean
BQ,GPS_TO_VPS,,6,50.0,"[18.76, 81.24]",47.06,"[26.17, 69.04]",2.7327,2.714,2.8333,2.3333,1.6733,35.968,2.8829,22.3837
BQ,NONE,,5,,,47.06,"[26.17, 69.04]",,,3.4,3.2,1.6732,9.3407,,
BQ,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",40.0,"[16.82, 68.73]",21.063,21.063,3.3333,2.0,1.697,13.3827,1.6221,106.893
BT,GPS_TO_VPS,,6,83.33,"[43.65, 96.99]",42.11,"[23.14, 63.72]",3.064,3.104,3.1667,2.6667,1.6968,21.453,2.1846,16.1848
BT,NONE,,6,,,15.38,"[4.33, 42.23]",,,2.1667,0.6667,1.7168,16.2085,,
BT,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",15.225,15.225,2.0,0.0,1.687,12.5593,5.5333,28.536
V1,GPS_TO_VPS,,5,40.0,"[11.76, 76.93]",53.33,"[30.12, 75.19]",2.2075,2.2075,3.0,2.8,1.6875,17.5004,3.9188,31.3905
V1,NONE,,9,,,59.46,"[43.49, 73.65]",,,4.1111,3.8889,1.6878,47.8398,,
V1,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",25.0,"[7.15, 59.07]",13.208,13.208,2.6667,1.3333,1.711,8.1197,2.8408,152.024
V2,GPS_TO_VPS,,6,83.33,"[43.65, 96.99]",0.0,"[0.0, 25.88]",3.354,3.329,1.8333,0.0,1.6914,21.0454,1.2506,11.0694
V2,NONE,,6,,,25.0,"[10.18, 49.5]",,,2.6667,1.3333,1.7042,85.5897,,
V2,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",21.294,21.294,2.0,0.0,1.676,15.2457,5.5928,115.163
V3,GPS_TO_VPS,,7,71.43,"[35.89, 91.78]",62.5,"[45.25, 77.07]",2.3438,2.32,4.5714,4.4286,1.7122,20.8672,2.0172,15.7476
V3,NONE,,7,,,60.61,"[43.68, 75.32]",,,4.7143,4.7143,1.703,28.284,,
V3,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 43.45]",6.084,6.084,1.6667,0.0,,3.7263,2.2834,129.265
V4,GPS_TO_VPS,,6,83.33,"[43.65, 96.99]",47.62,"[28.34, 67.63]",3.4018,3.406,3.5,3.0,1.6974,9.5752,1.6412,14.2516
V4,NONE,,7,,,45.45,"[26.92, 65.34]",,,3.1429,2.5714,1.6778,12.0684,,
V4,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",10.521,10.521,2.0,0.0,1.706,6.7337,0.3613,18.586
V5,GPS_TO_VPS,,6,100.0,"[60.97, 100.0]",14.29,"[4.01, 39.94]",3.4658,3.465,2.3333,0.6667,1.7065,46.7937,1.2296,11.7083
V5,NONE,,7,,,13.33,"[3.74, 37.88]",,,2.1429,0.5714,1.6938,8.5716,,
V5,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",26.5795,26.5795,2.0,0.0,1.717,15.0513,0.8153,26.303
