session_id,validation_status,validation_notes,harmony_version,harmony_profile,direction,scenario_id,destination,duration_s,start_utc,end_utc,completed,end_reason,n_samples,n_events,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,handover_success_reconstructed,handover_latency_s,handover_note,handover_success_summary,handover_success_mismatch,source_transitions_total,switch_count_Gps_to_Pdr,switch_count_Pdr_to_Gps,switch_count_Pdr_to_Vps,switch_count_Vps_to_Pdr,switch_count_Gps_to_Vps,switch_count_Vps_to_Gps,false_handover_count,evaluable_switches,false_handover_rate_percent,oscillation_episode_count,unnecessary_source_switches,source_toggle_count_summary,source_toggle_count_reconstructed,source_toggle_count_mismatch,vps_attempts_total,vps_attempts_success,vps_attempts_timeout,vps_attempts_unresolved,vps_localization_time_s_n,vps_localization_time_s_mean,vps_localization_time_s_median,vps_localization_time_s_sd,vps_localization_time_s_min,vps_localization_time_s_max,vps_localization_time_last_s,vps_localization_outcome_last,pdr_transition_duration_s,gps_reliability_at_acceptance,vps_reliability_at_acceptance,gps_stable_s_at_acceptance,vps_stable_s_at_acceptance,position_jump_m_reconstructed,heading_jump_deg_reconstructed,position_jump_note,position_jump_m_logger_column,position_jump_m_logger_note,gps_accuracy_m_n,gps_accuracy_m_mean,gps_accuracy_m_median,gps_accuracy_m_sd,gps_accuracy_m_min,gps_accuracy_m_max,gps_reliability_mean,gps_reliability_median,gps_age_s_mean,gps_age_s_max,pdr_steps_total,pdr_confidence_mean,pdr_confidence_median,vps_reliability_mean_when_valid,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,handover_attempts_total_summary,handover_attempts_evaluable_summary,successful_handovers_summary,false_handovers_summary,hsr_percent_summary,fhr_percent_summary,handover_start_s,handover_end_s
20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A,VALID,,V3,No Dwell Time,NONE,KB16,B9-104,92.184,2026-09-12T08:09:53.0346790Z,,1.0,destination_reached,88,222,1,0,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.705,1.705,0.0,1.705,1.705,1.705,success,51.604,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.0244,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,88,5.2251,5.222,0.1999,4.626,5.622,0.678,0.898,6.6556,31.825,15,0.8927,0.9,0.8847,35.23,35.23,35.23,1.0,1.0,1.0,2,100.0,50.0,,
20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7,VALID,,V5,Full HARMONY,NONE,KB16,B9-104,82.811,2026-09-12T08:45:08.2754170Z,,1.0,destination_reached,78,561,1,1,1,1,1,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.69,1.69,0.0,1.69,1.69,1.69,success,2.08,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.3537,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,78,5.3776,5.375,0.1867,4.868,5.811,0.299,0.113,25.5852,63.12,19,0.9,0.9,0.8848,33.33,33.33,33.33,1.0,1.0,1.0,0,100.0,0.0,,
20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE,VALID,,BQ,Quality-Threshold Baseline,NONE,KB16,B9-104,86.842,2026-09-13T08:12:01.6638340Z,,1.0,destination_reached,80,512,1,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,0.0,,1,1,0,0,0,0,0,0,1,0.0,0,0,1,1,False,1,0,1,0,0,,,,,,,timeout_fallback,13.921,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,80,5.1113,5.122,0.2057,4.644,5.694,0.3291,0.132,26.8278,65.584,15,0.885,0.9,,51.25,51.25,51.25,1.0,1.0,0.0,0,0.0,0.0,,
20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C,VALID,,V4,No Map-ID Check,NONE,KB16,B9-104,91.766,2026-09-12T08:42:54.7710850Z,,1.0,destination_reached,87,285,1,1,0,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.707,1.707,0.0,1.707,1.707,1.707,success,5.158,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.6889,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,87,5.1332,5.136,0.2055,4.584,5.611,0.6314,0.873,6.6755,29.848,36,0.9,0.9,0.8867,34.48,34.48,34.48,1.0,1.0,1.0,2,100.0,50.0,,
20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022,VALID,,BT,Quality + Dwell Baseline,NONE,KB16,B9-104,90.197,2026-09-13T08:14:07.0190350Z,,1.0,destination_reached,86,279,1,1,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.703,1.703,0.0,1.703,1.703,1.703,success,38.136,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.1756,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,86,5.205,5.2315,0.1956,4.525,5.669,0.7048,0.9135,4.724,24.607,20,0.8953,0.9,0.8759,34.88,34.88,34.88,1.0,1.0,1.0,2,100.0,50.0,,
20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138,VALID,,V2,Reliable Handover,NONE,KB16,B9-104,91.372,2026-09-12T08:05:45.3516670Z,,1.0,destination_reached,89,169,1,1,1,1,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.711,1.711,0.0,1.711,1.711,1.711,success,53.347,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2162,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,89,5.1137,5.138,0.235,4.514,5.902,0.9089,0.963,1.427,8.061,9,0.9,0.9,0.886,49.44,49.44,49.44,1.0,1.0,1.0,0,100.0,0.0,,
20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4,VALID,,V1,Fixed Geometric,NONE,KB16,B9-104,114.193,2026-09-12T08:02:15.9237700Z,,1.0,destination_reached,107,307,0,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,6,3,2,1,0,0,0,4,6,66.67,1,6,6,6,False,1,1,0,0,1,1.672,1.672,0.0,1.672,1.672,1.672,success,10.304,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,3.9515,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,107,4.9634,4.96,0.1975,4.473,5.585,0.6312,0.881,6.683,33.024,37,0.9,0.9,0.8803,33.64,33.64,33.64,1.0,1.0,1.0,4,100.0,66.7,,
20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61,VALID,,V5,Full HARMONY,NONE,KB14,B9-104,52.264,2026-09-10T06:51:10.3660700Z,,1.0,destination_reached,52,112,1,1,1,1,1,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.715,1.715,0.0,1.715,1.715,1.715,success,15.43,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,1.2755,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,52,5.3365,5.3385,0.1779,4.91,5.653,0.8364,0.9345,1.9844,9.298,7,0.9,0.9,0.8679,34.62,34.62,34.62,1.0,1.0,1.0,0,100.0,0.0,,
20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325,VALID,,BT,Quality + Dwell Baseline,NONE,KB14,B9-104,74.799,2026-09-10T06:45:43.9301650Z,2026-09-10T06:46:56.4621650Z,1.0,destination_reached,71,362,1,1,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,2,1,0,1,0,0,0,0,2,0.0,0,0,2,2,False,1,1,0,0,1,1.692,1.692,0.0,1.692,1.692,1.692,success,7.322,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.2307,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,71,5.0626,5.063,0.1982,4.555,5.511,0.3231,0.132,13.8681,39.51,12,0.8966,0.9,0.8772,33.8,33.8,33.8,1.0,1.0,1.0,0,100.0,0.0,,
20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B,VALID,,BQ,Quality-Threshold Baseline,NONE,KB14,B9-EXIT,77.975,2026-09-10T06:49:31.5531500Z,,1.0,destination_reached,74,360,1,0,0,0,0,,,NOT_EVALUABLE_FROM_CURRENT_LOG: non-handover scenario.,1.0,,4,2,1,1,0,0,0,2,4,50.0,1,4,4,4,False,1,1,0,0,1,1.641,1.641,0.0,1.641,1.641,1.641,success,7.303,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,2.9239,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,74,4.9233,4.9435,0.196,4.492,5.351,0.4446,0.132,15.6874,47.308,33,0.8968,0.9,0.8831,35.14,35.14,35.14,1.0,1.0,1.0,2,100.0,50.0,,
