harmony_version,direction,N_trials,HSR_numerator,HSR_denominator,HSR_percent,HSR_ci_low,HSR_ci_high,FHR_numerator,FHR_denominator,FHR_percent,FHR_ci_low,FHR_ci_high,handover_latency_s_N,handover_latency_s_mean,handover_latency_s_std,handover_latency_s_median,handover_latency_s_Q1,handover_latency_s_Q3,handover_latency_s_min,handover_latency_s_max,handover_latency_s_ci_low,handover_latency_s_ci_high,pdr_transition_duration_s_N,pdr_transition_duration_s_mean,pdr_transition_duration_s_std,pdr_transition_duration_s_median,pdr_transition_duration_s_Q1,pdr_transition_duration_s_Q3,pdr_transition_duration_s_min,pdr_transition_duration_s_max,pdr_transition_duration_s_ci_low,pdr_transition_duration_s_ci_high,vps_localization_time_s_mean_N,vps_localization_time_s_mean_mean,vps_localization_time_s_mean_std,vps_localization_time_s_mean_median,vps_localization_time_s_mean_Q1,vps_localization_time_s_mean_Q3,vps_localization_time_s_mean_min,vps_localization_time_s_mean_max,vps_localization_time_s_mean_ci_low,vps_localization_time_s_mean_ci_high,gps_accuracy_m_mean_N,gps_accuracy_m_mean_mean,gps_accuracy_m_mean_std,gps_accuracy_m_mean_median,gps_accuracy_m_mean_Q1,gps_accuracy_m_mean_Q3,gps_accuracy_m_mean_min,gps_accuracy_m_mean_max,gps_accuracy_m_mean_ci_low,gps_accuracy_m_mean_ci_high,position_jump_m_reconstructed_N,position_jump_m_reconstructed_mean,position_jump_m_reconstructed_std,position_jump_m_reconstructed_median,position_jump_m_reconstructed_Q1,position_jump_m_reconstructed_Q3,position_jump_m_reconstructed_min,position_jump_m_reconstructed_max,position_jump_m_reconstructed_ci_low,position_jump_m_reconstructed_ci_high,heading_jump_deg_reconstructed_N,heading_jump_deg_reconstructed_mean,heading_jump_deg_reconstructed_std,heading_jump_deg_reconstructed_median,heading_jump_deg_reconstructed_Q1,heading_jump_deg_reconstructed_Q3,heading_jump_deg_reconstructed_min,heading_jump_deg_reconstructed_max,heading_jump_deg_reconstructed_ci_low,heading_jump_deg_reconstructed_ci_high,source_transitions_total_N,source_transitions_total_mean,source_transitions_total_std,source_transitions_total_median,source_transitions_total_Q1,source_transitions_total_Q3,source_transitions_total_min,source_transitions_total_max,source_transitions_total_ci_low,source_transitions_total_ci_high,unnecessary_source_switches_N,unnecessary_source_switches_mean,unnecessary_source_switches_std,unnecessary_source_switches_median,unnecessary_source_switches_Q1,unnecessary_source_switches_Q3,unnecessary_source_switches_min,unnecessary_source_switches_max,unnecessary_source_switches_ci_low,unnecessary_source_switches_ci_high,vps_confidence_available_rate_percent_N,vps_confidence_available_rate_percent_mean,vps_confidence_available_rate_percent_std,vps_confidence_available_rate_percent_median,vps_confidence_available_rate_percent_Q1,vps_confidence_available_rate_percent_Q3,vps_confidence_available_rate_percent_min,vps_confidence_available_rate_percent_max,vps_confidence_available_rate_percent_ci_low,vps_confidence_available_rate_percent_ci_high,vps_map_id_available_rate_percent_N,vps_map_id_available_rate_percent_mean,vps_map_id_available_rate_percent_std,vps_map_id_available_rate_percent_median,vps_map_id_available_rate_percent_Q1,vps_map_id_available_rate_percent_Q3,vps_map_id_available_rate_percent_min,vps_map_id_available_rate_percent_max,vps_map_id_available_rate_percent_ci_low,vps_map_id_available_rate_percent_ci_high,vps_map_match_rate_percent_N,vps_map_match_rate_percent_mean,vps_map_match_rate_percent_std,vps_map_match_rate_percent_median,vps_map_match_rate_percent_Q1,vps_map_match_rate_percent_Q3,vps_map_match_rate_percent_min,vps_map_match_rate_percent_max,vps_map_match_rate_percent_ci_low,vps_map_match_rate_percent_ci_high,vps_reliability_mean_when_valid_N,vps_reliability_mean_when_valid_mean,vps_reliability_mean_when_valid_std,vps_reliability_mean_when_valid_median,vps_reliability_mean_when_valid_Q1,vps_reliability_mean_when_valid_Q3,vps_reliability_mean_when_valid_min,vps_reliability_mean_when_valid_max,vps_reliability_mean_when_valid_ci_low,vps_reliability_mean_when_valid_ci_high
BQ,GPS_TO_VPS,12,8,11,72.73,43.44,90.25,8,17,47.06,26.17,69.04,8,4.218,2.3121,3.3305,2.7763,4.132,2.687,9.027,2.2851,6.1509,11,26.3441,24.2027,17.377,16.1855,21.557,12.028,96.54,10.0845,42.6037,8,2.358,0.9746,2.347,1.6685,3.009,1.003,3.823,1.5432,3.1728,12,5.1584,0.1013,5.209,5.0502,5.2256,4.9823,5.2558,5.0941,5.2228,8,1.5428,1.6724,1.3624,0.0,2.9377,0.0,3.694,0.1447,2.941,8,22.6253,38.4921,10.7155,0.0,22.707,0.0,113.851,-9.5549,54.8054,12,1.4167,2.0652,0.5,0.0,1.75,0.0,6.0,0.1045,2.7288,12,1.1667,2.1672,0.0,0.0,1.0,0.0,6.0,-0.2103,2.5437,12,23.9458,21.413,20.795,4.84,39.065,0.0,54.76,10.3407,37.551,12,22.685,22.6108,18.1,2.415,39.065,0.0,54.76,8.3188,37.0512,12,22.685,22.6108,18.1,2.415,39.065,0.0,54.76,8.3188,37.0512,8,0.8777,0.0066,0.8801,0.8753,0.8814,0.8636,0.8847,0.8722,0.8832
BQ,NONE,5,0,0,,,,8,17,47.06,26.17,69.04,0,,,,,,,,,,4,9.3407,3.9011,9.1565,6.7595,11.7378,5.129,13.921,3.1332,15.5483,4,1.6732,0.0312,1.673,1.65,1.6963,1.641,1.706,1.6237,1.7228,5,5.0931,0.0973,5.1185,5.1113,5.148,4.9233,5.1643,4.9722,5.2139,0,,,,,,,,,,0,,,,,,,,,,5,3.4,1.3416,4.0,4.0,4.0,1.0,4.0,1.7341,5.0659,5,3.2,1.7889,4.0,4.0,4.0,0.0,4.0,0.9788,5.4212,5,39.646,7.1279,35.38,35.14,41.84,34.62,51.25,30.7955,48.4965,5,39.646,7.1279,35.38,35.14,41.84,34.62,51.25,30.7955,48.4965,5,39.646,7.1279,35.38,35.14,41.84,34.62,51.25,30.7955,48.4965,4,0.8825,0.0036,0.8824,0.8809,0.8841,0.8783,0.8869,0.8768,0.8882
BQ,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,4,10,40.0,16.82,68.73,2,21.063,0.0,21.063,21.063,21.063,21.063,21.063,21.063,21.063,3,13.3827,9.8282,19.057,10.5455,19.057,2.034,19.057,-11.032,37.7974,1,1.697,0.0,1.697,1.697,1.697,1.697,1.697,,,3,5.3472,0.2408,5.4282,5.2523,5.4826,5.0764,5.5371,4.7491,5.9454,2,1.6221,0.0,1.6221,1.6221,1.6221,1.6221,1.6221,1.6221,1.6221,2,106.893,0.0,106.893,106.893,106.893,106.893,106.893,106.893,106.893,3,3.3333,2.3094,2.0,2.0,4.0,2.0,6.0,-2.4035,9.0702,3,2.0,3.4641,0.0,0.0,3.0,0.0,6.0,-6.6053,10.6053,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,56.2233,18.5068,61.19,48.465,66.465,35.74,71.74,10.2499,102.1967,3,0.8788,0.0015,0.8794,0.8782,0.8796,0.8771,0.8798,0.8751,0.8824
BT,GPS_TO_VPS,12,10,11,90.91,62.26,98.38,8,19,42.11,23.14,63.72,10,4.1337,2.0777,3.255,3.1065,3.417,2.875,9.135,2.6474,5.62,11,16.5424,13.4885,11.537,10.0795,15.56,5.028,51.333,7.4807,25.6041,10,2.2565,0.9346,1.7055,1.6978,3.0337,1.015,3.976,1.5879,2.9251,12,5.1691,0.1352,5.1898,5.1695,5.2047,4.8694,5.4437,5.0832,5.255,10,1.1734,1.0788,1.2712,0.136,2.1858,0.0,2.3109,0.4017,1.9451,10,11.6674,9.2948,15.349,3.755,16.4282,0.0,28.24,5.0183,18.3165,12,1.5833,1.8809,0.5,0.0,4.0,0.0,4.0,0.3883,2.7784,12,1.3333,1.9695,0.0,0.0,4.0,0.0,4.0,0.082,2.5847,12,31.1742,19.0304,27.37,21.83,34.5975,0.0,78.26,19.0828,43.2655,12,30.0725,19.6262,25.245,19.685,34.5975,0.0,78.26,17.6026,42.5424,12,30.0725,19.6262,25.245,19.685,34.5975,0.0,78.26,17.6026,42.5424,10,0.8768,0.0094,0.8757,0.8727,0.8822,0.8598,0.8941,0.8701,0.8836
BT,NONE,6,0,0,,,,2,13,15.38,4.33,42.23,0,,,,,,,,,,4,16.2085,14.9659,10.346,6.993,19.5615,6.006,38.136,-7.6056,40.0226,5,1.7168,0.0437,1.703,1.692,1.746,1.667,1.776,1.6625,1.7711,6,5.0691,0.079,5.0444,5.0252,5.0989,4.9848,5.205,4.9862,5.1519,0,,,,,,,,,,0,,,,,,,,,,6,2.1667,0.9832,2.0,2.0,2.0,1.0,4.0,1.1349,3.1985,6,0.6667,1.633,0.0,0.0,0.0,0.0,4.0,-1.0471,2.3804,6,36.9383,7.3678,34.34,33.7625,34.97,32.35,51.85,29.2063,44.6703,6,36.9383,7.3678,34.34,33.7625,34.97,32.35,51.85,29.2063,44.6703,6,36.9383,7.3678,34.34,33.7625,34.97,32.35,51.85,29.2063,44.6703,5,0.8769,0.0066,0.876,0.8759,0.8772,0.8683,0.8869,0.8686,0.8851
BT,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,0,6,0.0,0.0,39.03,2,15.225,0.0,15.225,15.225,15.225,15.225,15.225,15.225,15.225,3,12.5593,4.1731,10.15,10.15,13.764,10.15,17.378,2.1928,22.9259,1,1.687,0.0,1.687,1.687,1.687,1.687,1.687,,,3,5.2554,0.1772,5.3397,5.1958,5.3572,5.0518,5.3748,4.8152,5.6957,2,5.5333,0.0,5.5333,5.5333,5.5333,5.5333,5.5333,5.5333,5.5333,2,28.536,0.0,28.536,28.536,28.536,28.536,28.536,28.536,28.536,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,58.88,21.2794,66.1,50.515,70.855,34.93,75.61,6.0191,111.7409,3,0.8776,0.004,0.8778,0.8757,0.8796,0.8735,0.8814,0.8677,0.8874
V1,GPS_TO_VPS,11,7,10,70.0,39.68,89.22,8,15,53.33,30.12,75.19,7,4.3004,2.5849,3.348,2.7745,4.948,2.166,9.144,1.9098,6.6911,11,16.9424,9.1545,15.54,12.654,19.638,3.067,36.55,10.7923,23.0924,7,2.4764,1.0154,3.0,1.6875,3.048,1.016,3.848,1.5373,3.4155,11,5.0687,0.0888,5.0892,5.0191,5.1044,4.9302,5.2524,5.009,5.1283,7,1.607,1.85,0.3211,0.1605,3.2904,0.0,4.0262,-0.104,3.318,7,27.7383,23.0632,31.644,15.5685,31.877,0.0,67.633,6.4084,49.0682,11,1.3636,1.7477,0.0,0.0,3.0,0.0,4.0,0.1895,2.5378,11,1.2727,1.7939,0.0,0.0,3.0,0.0,4.0,0.0675,2.4779,11,23.3591,20.5397,8.39,7.04,43.21,0.0,49.72,9.5603,37.1579,11,22.7236,21.0882,5.93,5.915,43.21,0.0,49.72,8.5564,36.8909,11,22.7236,21.0882,5.93,5.915,43.21,0.0,49.72,8.5564,36.8909,7,0.8858,0.0057,0.8833,0.8825,0.8905,0.8781,0.8933,0.8806,0.8911
V1,NONE,9,0,0,,,,22,37,59.46,43.49,73.65,0,,,,,,,,,,6,47.8398,80.0702,15.925,10.8068,23.6525,9.051,210.809,-36.1887,131.8683,6,1.6878,0.0287,1.69,1.6757,1.702,1.643,1.727,1.6577,1.7179,9,5.0322,0.151,4.9634,4.9148,5.103,4.9044,5.3359,4.9162,5.1483,0,,,,,,,,,,0,,,,,,,,,,9,4.1111,2.0883,4.0,3.0,6.0,1.0,6.0,2.5059,5.7163,9,3.8889,2.4721,4.0,3.0,6.0,0.0,6.0,1.9887,5.7891,9,41.1244,15.3117,35.37,35.0,50.0,13.64,68.09,29.3549,52.894,9,41.1244,15.3117,35.37,35.0,50.0,13.64,68.09,29.3549,52.894,9,41.1244,15.3117,35.37,35.0,50.0,13.64,68.09,29.3549,52.894,6,0.8843,0.0101,0.883,0.88,0.8864,0.8716,0.9017,0.8737,0.8949
V1,VPS_TO_GPS,3,2,2,100.0,34.24,100.0,2,8,25.0,7.15,59.07,2,13.208,0.0,13.208,13.208,13.208,13.208,13.208,13.208,13.208,3,8.1197,5.2937,11.176,6.5915,11.176,2.007,11.176,-5.0307,21.27,1,1.711,0.0,1.711,1.711,1.711,1.711,1.711,,,3,5.2398,0.0558,5.237,5.2112,5.2669,5.1855,5.2969,5.1013,5.3783,2,2.8408,0.0,2.8408,2.8408,2.8408,2.8408,2.8408,2.8408,2.8408,2,152.024,0.0,152.024,152.024,152.024,152.024,152.024,152.024,152.024,3,2.6667,1.1547,2.0,2.0,3.0,2.0,4.0,-0.2018,5.5351,3,1.3333,2.3094,0.0,0.0,2.0,0.0,4.0,-4.4035,7.0702,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,67.8967,28.8653,81.44,58.095,84.47,34.75,87.5,-3.8088,139.6021,3,0.8806,0.0014,0.8809,0.88,0.8814,0.8791,0.8818,0.8772,0.884
V2,GPS_TO_VPS,12,10,11,90.91,62.26,98.38,0,11,0.0,0.0,25.88,10,4.2918,2.0019,3.42,3.3298,3.5265,3.235,9.126,2.8598,5.7238,11,18.0145,11.3141,14.595,13.2835,18.815,4.067,48.342,10.4136,25.6155,10,2.2596,0.9495,1.715,1.688,3.0315,1.014,4.041,1.5803,2.9389,12,5.1742,0.1128,5.2169,5.1553,5.2403,4.8752,5.2636,5.1025,5.2458,9,1.1169,1.0871,1.196,0.2221,1.3052,0.0,3.5765,0.2812,1.9525,9,9.6966,9.7008,10.64,0.55,11.631,0.0,31.372,2.2398,17.1533,12,0.9167,0.9962,0.5,0.0,2.0,0.0,2.0,0.2837,1.5496,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,20.7175,17.2071,20.41,5.13,34.2625,0.0,48.51,9.7846,31.6504,12,19.3817,18.4859,17.56,2.555,34.2625,0.0,48.51,7.6363,31.127,12,19.3817,18.4859,17.56,2.555,34.2625,0.0,48.51,7.6363,31.127,10,0.8825,0.0059,0.8813,0.8785,0.8865,0.8733,0.8923,0.8783,0.8867
