Version,Direction,Scenario,N,HSR_%,HSR_95CI,FHR_%,FHR_95CI,Handover_latency_s_mean,Handover_latency_s_median,Source_switching_mean,Unnecessary_switching_mean,VPS_localization_time_s_mean,PDR_transition_duration_s_mean,Position_jump_m_mean,Heading_jump_deg_mean
BQ,GPS_TO_VPS,,12,72.73,"[43.44, 90.25]",47.06,"[26.17, 69.04]",4.218,3.3305,1.4167,1.1667,2.358,26.3441,1.5428,22.6253
BQ,NONE,,5,,,47.06,"[26.17, 69.04]",,,3.4,3.2,1.6732,9.3407,,
BQ,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",40.0,"[16.82, 68.73]",21.063,21.063,3.3333,2.0,1.697,13.3827,1.6221,106.893
BT,GPS_TO_VPS,,12,90.91,"[62.26, 98.38]",42.11,"[23.14, 63.72]",4.1337,3.255,1.5833,1.3333,2.2565,16.5424,1.1734,11.6674
BT,NONE,,6,,,15.38,"[4.33, 42.23]",,,2.1667,0.6667,1.7168,16.2085,,
BT,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",15.225,15.225,2.0,0.0,1.687,12.5593,5.5333,28.536
V1,GPS_TO_VPS,,11,70.0,"[39.68, 89.22]",53.33,"[30.12, 75.19]",4.3004,3.348,1.3636,1.2727,2.4764,16.9424,1.607,27.7383
V1,NONE,,9,,,59.46,"[43.49, 73.65]",,,4.1111,3.8889,1.6878,47.8398,,
V1,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",25.0,"[7.15, 59.07]",13.208,13.208,2.6667,1.3333,1.711,8.1197,2.8408,152.024
V2,GPS_TO_VPS,,12,90.91,"[62.26, 98.38]",0.0,"[0.0, 25.88]",4.2918,3.42,0.9167,0.0,2.2596,18.0145,1.1169,9.6966
V2,NONE,,6,,,25.0,"[10.18, 49.5]",,,2.6667,1.3333,1.7042,85.5897,,
V2,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",21.294,21.294,2.0,0.0,1.676,15.2457,5.5928,115.163
V3,GPS_TO_VPS,,13,83.33,"[55.2, 95.3]",62.5,"[45.25, 77.07]",3.7371,2.881,2.4615,2.3846,2.2501,12.3884,3.6276,44.4015
V3,NONE,,7,,,60.61,"[43.68, 75.32]",,,4.7143,4.7143,1.703,28.284,,
V3,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 43.45]",6.084,6.084,1.6667,0.0,,3.7263,2.2834,129.265
V4,GPS_TO_VPS,,12,90.91,"[62.26, 98.38]",47.62,"[28.34, 67.63]",4.2994,3.415,1.75,1.5,2.2529,9.4446,1.0856,9.0428
V4,NONE,,7,,,45.45,"[26.92, 65.34]",,,3.1429,2.5714,1.6778,12.0684,,
V4,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",10.521,10.521,2.0,0.0,1.706,6.7337,0.3613,18.586
V5,GPS_TO_VPS,,12,100.0,"[74.12, 100.0]",14.29,"[4.01, 39.94]",4.2579,3.46,1.1667,0.3333,2.2099,24.927,5.0418,21.8156
V5,NONE,,7,,,13.33,"[3.74, 37.88]",,,2.1429,0.5714,1.6938,8.5716,,
V5,VPS_TO_GPS,,3,100.0,"[34.24, 100.0]",0.0,"[0.0, 39.03]",26.5795,26.5795,2.0,0.0,1.717,15.0513,0.8153,26.303
