session_id,scenario_id,harmony_version,template_session_ids,generation_seed,synthetic,direction,notes,validation_status,reconstructed_success,reconstructed_latency_s,reconstructed_position_jump_m
SYNTH_KB02_V1_3432_REV,KB02,V1,20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E,20260920,1,VPS_TO_GPS,"backtrack=False; exit_trigger_s=80.264, commit_s=93.472, latency_s=13.208, duration_s=98.552; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,13.208,2.8408
SYNTH_KB20_V1_8534_REV,KB20,V1,20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E,20260920,1,VPS_TO_GPS,"backtrack=True; exit_trigger_s=128.016, commit_s=141.224, latency_s=13.208, duration_s=146.304; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,13.208,2.8408
SYNTH_KB02_V2_3545_REV,KB02,V2,20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796,20260920,1,VPS_TO_GPS,"backtrack=False; exit_trigger_s=43.602, commit_s=64.896, latency_s=21.294, duration_s=69.966; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,21.294,5.5928
SYNTH_KB20_V2_7591_REV,KB20,V2,20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796,20260920,1,VPS_TO_GPS,"backtrack=True; exit_trigger_s=69.966, commit_s=91.26, latency_s=21.294, duration_s=96.33; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,21.294,5.5928
SYNTH_KB02_V3_9203_REV,KB02,V3,20260912_100055_923_V3_GPS_TO_VPS_NORMAL_DEV_5573,20260920,1,VPS_TO_GPS,"backtrack=False; exit_trigger_s=54.756, commit_s=60.84, latency_s=6.084, duration_s=65.91; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260912_100055_923_V3_GPS_TO_VPS_NORMAL_DEV_5573 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,6.084,2.2834
SYNTH_KB20_V3_9871_REV,KB20,V3,20260912_100055_923_V3_GPS_TO_VPS_NORMAL_DEV_5573,20260920,1,VPS_TO_GPS,"backtrack=True; exit_trigger_s=87.204, commit_s=93.288, latency_s=6.084, duration_s=98.358; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260912_100055_923_V3_GPS_TO_VPS_NORMAL_DEV_5573 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,6.084,2.2834
SYNTH_KB02_V4_6790_REV,KB02,V4,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,20260920,1,VPS_TO_GPS,"backtrack=False; exit_trigger_s=42.084, commit_s=53.106, latency_s=11.022, duration_s=58.116; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,11.022,0.3501
SYNTH_KB20_V4_7770_REV,KB20,V4,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,20260920,1,VPS_TO_GPS,"backtrack=True; exit_trigger_s=68.136, commit_s=78.156, latency_s=10.02, duration_s=83.166; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,10.02,0.3724
SYNTH_KB02_V5_1612_REV,KB02,V5,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,20260920,1,VPS_TO_GPS,"backtrack=False; exit_trigger_s=32.096, commit_s=59.177, latency_s=27.081, duration_s=64.192; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,27.081,0.7901
SYNTH_KB20_V5_4393_REV,KB20,V5,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,20260920,1,VPS_TO_GPS,"backtrack=True; exit_trigger_s=51.153, commit_s=77.231, latency_s=26.078, duration_s=82.246; indoor path + outdoor entrance coordinates reused (original order) from template trial 20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680 of the same version; PDR-bridge/reacquisition segment is a straight-line interpolation between them (not row-reversal, not mirrored coordinates); GPS accuracy/VPS-reliability/PDR-confidence drawn from that version's real clean GPS_TO_VPS trial distributions; latency driven by that version's real gpsDwellSeconds config, not by VPS localization time.",VALID,1,26.078,0.8405
