session_id,scenario_id,harmony_version,direction,provenance,events_file,samples_file,summary_file,included_in_target_report,validation_status
20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A,KB16,V3,NONE,REAL,combined_root_v2/KB16/20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A/events_20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A.csv,combined_root_v2/KB16/20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A/samples_20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A.csv,combined_root_v2/KB16/20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A/summary_20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A.csv,True,VALID
20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7,KB16,V5,NONE,REAL,combined_root_v2/KB16/20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7/events_20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7.csv,combined_root_v2/KB16/20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7/samples_20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7.csv,combined_root_v2/KB16/20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7/summary_20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7.csv,True,VALID
20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE,KB16,BQ,NONE,REAL,combined_root_v2/KB16/20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE/events_20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE.csv,combined_root_v2/KB16/20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE/samples_20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE.csv,combined_root_v2/KB16/20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE/summary_20260913_081201_663_BQ_GPS_TO_VPS_NORMAL_DEV_3AEE.csv,True,VALID
20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C,KB16,V4,NONE,REAL,combined_root_v2/KB16/20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C/events_20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C.csv,combined_root_v2/KB16/20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C/samples_20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C.csv,combined_root_v2/KB16/20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C/summary_20260912_084254_771_V4_GPS_TO_VPS_NORMAL_DEV_163C.csv,True,VALID
20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022,KB16,BT,NONE,REAL,combined_root_v2/KB16/20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022/events_20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022.csv,combined_root_v2/KB16/20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022/samples_20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022.csv,combined_root_v2/KB16/20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022/summary_20260913_081407_019_BT_GPS_TO_VPS_NORMAL_DEV_0022.csv,True,VALID
20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138,KB16,V2,NONE,REAL,combined_root_v2/KB16/20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138/events_20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138.csv,combined_root_v2/KB16/20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138/samples_20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138.csv,combined_root_v2/KB16/20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138/summary_20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138.csv,True,VALID
20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4,KB16,V1,NONE,REAL,combined_root_v2/KB16/20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4/events_20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4.csv,combined_root_v2/KB16/20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4/samples_20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4.csv,combined_root_v2/KB16/20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4/summary_20260912_080215_923_V1_GPS_TO_VPS_NORMAL_DEV_F4E4.csv,True,VALID
20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61,KB14,V5,NONE,REAL,combined_root_v2/KB14/20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61/events_20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61.csv,combined_root_v2/KB14/20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61/samples_20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61.csv,combined_root_v2/KB14/20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61/summary_20260910_065110_366_V5_GPS_TO_VPS_NORMAL_DEV_2C61.csv,True,VALID
20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325,KB14,BT,NONE,REAL,combined_root_v2/KB14/20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325/events_20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325.csv,combined_root_v2/KB14/20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325/samples_20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325.csv,combined_root_v2/KB14/20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325/summary_20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325.csv,True,VALID
20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B,KB14,BQ,NONE,REAL,combined_root_v2/KB14/20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B/events_20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B.csv,combined_root_v2/KB14/20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B/samples_20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B.csv,combined_root_v2/KB14/20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B/summary_20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B.csv,True,VALID
20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5,KB14,V3,NONE,REAL,combined_root_v2/KB14/20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5/events_20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5.csv,combined_root_v2/KB14/20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5/samples_20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5.csv,combined_root_v2/KB14/20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5/summary_20260910_065724_954_V3_GPS_TO_VPS_NORMAL_DEV_6AD5.csv,True,VALID
20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853,KB14,V4,NONE,REAL,combined_root_v2/KB14/20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853/events_20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853.csv,combined_root_v2/KB14/20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853/samples_20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853.csv,combined_root_v2/KB14/20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853/summary_20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853.csv,True,VALID
20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7,KB14,V1,NONE,REAL,combined_root_v2/KB14/20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7/events_20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7.csv,combined_root_v2/KB14/20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7/samples_20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7.csv,combined_root_v2/KB14/20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7/summary_20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7.csv,True,VALID
20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53,KB14,V2,NONE,REAL,combined_root_v2/KB14/20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53/events_20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53.csv,combined_root_v2/KB14/20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53/samples_20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53.csv,combined_root_v2/KB14/20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53/summary_20260910_065833_404_V2_GPS_TO_VPS_NORMAL_DEV_5D53.csv,True,VALID
20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795,KB17,V5,NONE,REAL,combined_root_v2/KB17/20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795/events_20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795.csv,combined_root_v2/KB17/20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795/samples_20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795.csv,combined_root_v2/KB17/20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795/summary_20260915_042445_835_V5_GPS_TO_VPS_NORMAL_DEV_8795.csv,True,VALID
20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706,KB17,BT,NONE,REAL,combined_root_v2/KB17/20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706/events_20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706.csv,combined_root_v2/KB17/20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706/samples_20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706.csv,combined_root_v2/KB17/20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706/summary_20260915_042648_942_BT_GPS_TO_VPS_NORMAL_DEV_7706.csv,True,VALID
