scenario_id,harmony_version,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,N_trials
KB02,BQ,35.74,35.74,35.74,1
KB02,BT,34.93,34.93,34.93,1
KB02,V1,34.75,34.75,34.75,1
KB02,V2,49.54,49.54,49.54,1
KB02,V3,53.23,53.23,53.23,1
KB02,V4,57.89,57.89,57.89,1
KB02,V5,42.28,42.28,42.28,1
KB03,BQ,50.93,50.93,50.93,1
KB03,BT,35.04,35.04,35.04,1
KB03,V1,36.82,36.82,36.82,1
KB03,V2,36.42,36.42,36.42,1
KB03,V3,33.7,33.7,33.7,1
KB03,V4,34.26,34.26,34.26,1
KB03,V5,33.77,33.77,33.77,1
KB05,BQ,51.09,51.09,51.09,1
KB05,BT,30.77,30.77,30.77,1
KB05,V2,34.36,34.36,34.36,1
KB05,V3,42.05,42.05,42.05,2
KB05,V4,33.61,33.61,33.61,1
KB05,V5,31.82,31.82,31.82,1
KB10,V1,51.79,51.79,51.79,1
KB10,V2,23.08,23.08,23.08,1
KB10,V3,50.77,50.77,50.77,1
KB10,V4,31.25,31.25,31.25,1
KB10,V5,17.65,17.65,17.65,1
KB11,BQ,41.84,41.84,41.84,1
KB11,BT,35.0,35.0,35.0,1
KB11,V1,35.37,35.37,35.37,1
KB11,V2,34.21,34.21,34.21,1
KB11,V3,35.19,35.19,35.19,1
KB11,V4,50.0,50.0,0.0,1
KB11,V5,36.59,36.59,36.59,1
KB14,BQ,35.14,35.14,35.14,1
KB14,BT,33.8,33.8,33.8,1
KB14,V1,47.37,47.37,47.37,1
KB14,V2,32.86,32.86,32.86,1
KB14,V3,38.1,38.1,38.1,1
KB14,V4,32.47,32.47,32.47,1
KB14,V5,34.62,34.62,34.62,1
KB16,BQ,51.25,51.25,51.25,1
KB16,BT,34.88,34.88,34.88,1
KB16,V1,33.64,33.64,33.64,1
KB16,V2,49.44,49.44,49.44,1
KB16,V3,35.23,35.23,35.23,1
KB16,V4,34.48,34.48,34.48,1
KB16,V5,33.33,33.33,33.33,1
KB17,BQ,34.62,34.62,34.62,1
KB17,BT,51.85,51.85,51.85,1
KB17,V1,68.09,68.09,68.09,1
KB17,V2,35.29,35.29,35.29,1
KB17,V3,34.02,34.02,34.02,1
KB17,V4,34.55,34.55,34.55,1
KB17,V5,33.33,33.33,33.33,1
KB18,BQ,54.76,54.76,54.76,1
KB18,BT,78.26,78.26,78.26,1
KB18,V1,49.6,49.6,49.6,1
KB18,V2,48.51,48.51,48.51,1
KB18,V3,34.67,34.67,34.67,1
KB18,V4,25.0,25.0,25.0,1
KB18,V5,32.31,32.31,32.31,1
KB19,BT,32.35,32.35,32.35,1
KB19,V1,32.88,32.88,32.88,3
KB19,V3,20.0,20.0,20.0,1
KB19,V4,60.0,60.0,0.0,1
KB19,V5,60.0,60.0,60.0,1
KB22,BQ,35.11,35.11,35.11,1
KB22,BT,34.45,34.45,34.45,1
KB22,V1,34.65,34.65,34.65,1
KB22,V2,34.23,34.23,34.23,1
KB22,V3,34.96,34.96,34.96,1
KB22,V4,50.0,50.0,0.0,1
KB22,V5,33.58,33.58,33.58,1
KB24,BQ,35.38,35.38,35.38,1
KB24,BT,33.75,33.75,33.75,1
KB24,V1,35.22,35.22,35.22,1
KB24,V2,37.38,37.38,37.38,1
KB24,V3,35.29,35.29,35.29,1
KB24,V4,34.94,34.94,34.94,1
KB24,V5,33.55,33.55,33.55,1
KB25,BQ,33.78,33.78,33.78,1
KB25,BT,50.0,50.0,50.0,1
KB25,V1,49.72,49.72,49.72,1
KB25,V2,32.56,32.56,32.56,1
KB25,V3,48.84,48.84,48.84,1
KB25,V4,37.61,37.61,37.61,1
KB25,V5,35.96,35.96,35.96,1
KB30,BQ,34.55,34.55,34.55,1
KB30,BT,34.43,34.43,34.43,1
KB30,V1,49.64,49.64,49.64,1
KB30,V2,33.8,33.8,33.8,1
KB30,V3,35.6,35.6,35.6,1
KB30,V4,33.82,33.82,33.82,1
KB30,V5,34.54,34.54,34.54,1
